year,Winfred (F),Winfred (M)
1880,0.000000,0.000060
1881,0.000000,0.000062
1882,0.000000,0.000041
1883,0.000000,0.000051
1884,0.000000,0.000062
1885,0.000000,0.000037
1886,0.000000,0.000047
1887,0.000000,0.000032
1888,0.000000,0.000000
1889,0.000000,0.000042
1890,0.000000,0.000043
1891,0.000000,0.000024
1892,0.000000,0.000024
1893,0.000000,0.000037
1894,0.000000,0.000030
1895,0.000000,0.000037
1896,0.000000,0.000025
1897,0.000000,0.000017
1898,0.000000,0.000031
1899,0.000000,0.000038
1900,0.000000,0.000029
1901,0.000000,0.000000
1902,0.000000,0.000044
1903,0.000000,0.000024
1904,0.000000,0.000032
1905,0.000000,0.000042
1906,0.000000,0.000019
1907,0.000000,0.000041
1908,0.000000,0.000041
1909,0.000010,0.000039
1910,0.000000,0.000030
1911,0.000000,0.000036
1912,0.000006,0.000066
1913,0.000005,0.000084
1914,0.000000,0.000082
1915,0.000003,0.000080
1916,0.000006,0.000099
1917,0.000007,0.000107
1918,0.000003,0.000097
1919,0.000011,0.000105
1920,0.000004,0.000101
1921,0.000003,0.000096
1922,0.000007,0.000107
1923,0.000005,0.000100
1924,0.000004,0.000097
1925,0.000006,0.000089
1926,0.000005,0.000088
1927,0.000004,0.000083
1928,0.000002,0.000088
1929,0.000003,0.000087
1930,0.000004,0.000083
1931,0.000004,0.000077
1932,0.000003,0.000081
1933,0.000004,0.000068
1934,0.000004,0.000067
1935,0.000003,0.000070
1936,0.000003,0.000065
1937,0.000000,0.000074
1938,0.000003,0.000070
1939,0.000004,0.000051
1940,0.000003,0.000067
1941,0.000002,0.000055
1942,0.000002,0.000054
1943,0.000003,0.000052
1944,0.000000,0.000045
1945,0.000002,0.000053
1946,0.000000,0.000034
1947,0.000001,0.000036
1948,0.000000,0.000036
1949,0.000001,0.000037
1950,0.000000,0.000038
1951,0.000000,0.000040
1952,0.000001,0.000043
1953,0.000000,0.000039
1954,0.000000,0.000036
1955,0.000001,0.000041
1956,0.000001,0.000047
1957,0.000000,0.000040
1958,0.000000,0.000032
1959,0.000000,0.000033
1960,0.000002,0.000035
1961,0.000002,0.000030
1962,0.000002,0.000034
1963,0.000002,0.000027
1964,0.000000,0.000024
1965,0.000000,0.000025
1966,0.000000,0.000024
1967,0.000000,0.000013
1968,0.000002,0.000016
1969,0.000000,0.000014
1970,0.000001,0.000016
1971,0.000000,0.000016
1972,0.000000,0.000012
1973,0.000000,0.000016
1974,0.000000,0.000014
1975,0.000000,0.000011
1976,0.000000,0.000011
1977,0.000000,0.000013
1978,0.000000,0.000008
1979,0.000000,0.000008
1980,0.000001,0.000013
1981,0.000000,0.000011
1982,0.000000,0.000009
1983,0.000000,0.000008
1984,0.000000,0.000007
1985,0.000000,0.000010
1986,0.000000,0.000005
1987,0.000000,0.000007
1988,0.000000,0.000008
1989,0.000000,0.000007
1990,0.000000,0.000005
1991,0.000000,0.000007
1992,0.000000,0.000004
1993,0.000000,0.000005
1994,0.000000,0.000005
1995,0.000000,0.000002
1996,0.000000,0.000004
1997,0.000000,0.000005
1998,0.000000,0.000004
1999,0.000000,0.000002
2000,0.000000,0.000002
2001,0.000000,0.000002
2002,0.000000,0.000003
2003,0.000000,0.000001
2004,0.000000,0.000000
2005,0.000000,0.000002
2006,0.000000,0.000003
2007,0.000000,0.000002
2008,0.000000,0.000002
2009,0.000000,0.000001
2010,0.000000,0.000002
2011,0.000000,0.000002
2012,0.000000,0.000003
2013,0.000000,0.000002
2014,0.000000,0.000002
2015,0.000000,0.000000
2016,0.000000,0.000000
2017,0.000000,0.000001
2018,0.000000,0.000003
2019,0.000000,0.000000
2020,0.000000,0.000002
