year,Wm (F),Wm (M)
1880,0.000000,0.000069
1881,0.000000,0.000078
1882,0.000000,0.000081
1883,0.000000,0.000074
1884,0.000000,0.000090
1885,0.000000,0.000095
1886,0.000000,0.000059
1887,0.000000,0.000061
1888,0.000000,0.000083
1889,0.000000,0.000042
1890,0.000000,0.000070
1891,0.000000,0.000024
1892,0.000000,0.000051
1893,0.000000,0.000055
1894,0.000000,0.000056
1895,0.000000,0.000040
1896,0.000000,0.000070
1897,0.000000,0.000058
1898,0.000000,0.000060
1899,0.000000,0.000056
1900,0.000000,0.000044
1901,0.000000,0.000061
1902,0.000000,0.000031
1903,0.000000,0.000066
1904,0.000000,0.000030
1905,0.000000,0.000038
1906,0.000000,0.000070
1907,0.000000,0.000060
1908,0.000000,0.000074
1909,0.000000,0.000078
1910,0.000000,0.000054
1911,0.000000,0.000050
1912,0.000000,0.000039
1913,0.000000,0.000040
1914,0.000000,0.000037
1915,0.000003,0.000042
1916,0.000003,0.000044
1917,0.000003,0.000035
1918,0.000000,0.000037
1919,0.000003,0.000036
1920,0.000004,0.000032
1921,0.000004,0.000030
1922,0.000003,0.000029
1923,0.000003,0.000019
1924,0.000004,0.000026
1925,0.000003,0.000033
1926,0.000000,0.000030
1927,0.000000,0.000023
1928,0.000000,0.000017
1929,0.000000,0.000011
1930,0.000003,0.000006
1931,0.000000,0.000004
1932,0.000000,0.000007
1933,0.000000,0.000006
1934,0.000000,0.000003
1935,0.000000,0.000007
1936,0.000000,0.000007
1937,0.000000,0.000010
1938,0.000000,0.000008
1939,0.000000,0.000004
1940,0.000000,0.000003
1941,0.000000,0.000004
1942,0.000000,0.000004
1943,0.000000,0.000005
1944,0.000000,0.000003
1945,0.000000,0.000003
1946,0.000000,0.000002
1947,0.000000,0.000000
1948,0.000000,0.000000
1949,0.000000,0.000001
1950,0.000000,0.000000
1951,0.000000,0.000000
1952,0.000000,0.000000
1953,0.000000,0.000000
1954,0.000000,0.000000
1955,0.000000,0.000001
1956,0.000000,0.000000
1957,0.000000,0.000000
1958,0.000000,0.000000
1959,0.000000,0.000000
1960,0.000000,0.000001
1961,0.000000,0.000001
1962,0.000000,0.000000
1963,0.000000,0.000003
1964,0.000000,0.000001
1965,0.000000,0.000004
1966,0.000000,0.000004
1967,0.000000,0.000006
1968,0.000000,0.000008
1969,0.000000,0.000007
1970,0.000000,0.000011
1971,0.000000,0.000009
1972,0.000000,0.000008
1973,0.000000,0.000007
1974,0.000000,0.000009
1975,0.000000,0.000008
1976,0.000000,0.000008
1977,0.000000,0.000009
1978,0.000000,0.000007
1979,0.000000,0.000006
1980,0.000000,0.000009
1981,0.000000,0.000008
1982,0.000000,0.000011
1983,0.000000,0.000010
1984,0.000000,0.000009
1985,0.000000,0.000008
1986,0.000000,0.000007
1987,0.000000,0.000006
1988,0.000000,0.000007
1989,0.000000,0.000003
1990,0.000000,0.000003
1991,0.000000,0.000001
1992,0.000000,0.000002
1993,0.000000,0.000000
1994,0.000000,0.000000
1995,0.000000,0.000000
1996,0.000000,0.000000
1997,0.000000,0.000000
1998,0.000000,0.000000
1999,0.000000,0.000000
2000,0.000000,0.000000
2001,0.000000,0.000000
2002,0.000000,0.000000
2003,0.000000,0.000000
2004,0.000000,0.000000
2005,0.000000,0.000000
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000000
2013,0.000000,0.000000
2014,0.000000,0.000000
2015,0.000000,0.000000
2016,0.000000,0.000000
2017,0.000000,0.000000
2018,0.000000,0.000000
2019,0.000000,0.000000
2020,0.000000,0.000000
