year,Willis (F),Willis (M)
1880,0.000000,0.000824
1881,0.000000,0.000737
1882,0.000000,0.000645
1883,0.000000,0.000604
1884,0.000000,0.000620
1885,0.000000,0.000552
1886,0.000000,0.000587
1887,0.000020,0.000457
1888,0.000000,0.000451
1889,0.000000,0.000429
1890,0.000000,0.000428
1891,0.000000,0.000412
1892,0.000000,0.000428
1893,0.000000,0.000458
1894,0.000000,0.000393
1895,0.000000,0.000385
1896,0.000000,0.000406
1897,0.000000,0.000380
1898,0.000000,0.000317
1899,0.000021,0.000371
1900,0.000000,0.000375
1901,0.000026,0.000307
1902,0.000000,0.000372
1903,0.000000,0.000349
1904,0.000000,0.000337
1905,0.000000,0.000321
1906,0.000000,0.000345
1907,0.000000,0.000314
1908,0.000014,0.000329
1909,0.000022,0.000370
1910,0.000012,0.000366
1911,0.000022,0.000362
1912,0.000011,0.000458
1913,0.000009,0.000504
1914,0.000006,0.000525
1915,0.000008,0.000518
1916,0.000010,0.000512
1917,0.000012,0.000475
1918,0.000008,0.000502
1919,0.000014,0.000537
1920,0.000008,0.000529
1921,0.000011,0.000518
1922,0.000011,0.000545
1923,0.000014,0.000513
1924,0.000006,0.000529
1925,0.000010,0.000513
1926,0.000014,0.000538
1927,0.000013,0.000457
1928,0.000009,0.000479
1929,0.000010,0.000470
1930,0.000008,0.000436
1931,0.000010,0.000442
1932,0.000010,0.000430
1933,0.000008,0.000406
1934,0.000009,0.000418
1935,0.000011,0.000377
1936,0.000008,0.000369
1937,0.000010,0.000340
1938,0.000006,0.000331
1939,0.000005,0.000315
1940,0.000002,0.000264
1941,0.000005,0.000281
1942,0.000005,0.000243
1943,0.000006,0.000266
1944,0.000003,0.000231
1945,0.000002,0.000218
1946,0.000006,0.000182
1947,0.000003,0.000166
1948,0.000002,0.000169
1949,0.000001,0.000138
1950,0.000003,0.000136
1951,0.000004,0.000138
1952,0.000002,0.000135
1953,0.000002,0.000125
1954,0.000001,0.000111
1955,0.000002,0.000113
1956,0.000003,0.000107
1957,0.000002,0.000107
1958,0.000000,0.000100
1959,0.000001,0.000098
1960,0.000000,0.000100
1961,0.000002,0.000086
1962,0.000000,0.000092
1963,0.000002,0.000086
1964,0.000000,0.000083
1965,0.000001,0.000082
1966,0.000000,0.000073
1967,0.000000,0.000071
1968,0.000000,0.000068
1969,0.000000,0.000065
1970,0.000000,0.000072
1971,0.000000,0.000073
1972,0.000000,0.000079
1973,0.000000,0.000064
1974,0.000000,0.000065
1975,0.000000,0.000067
1976,0.000000,0.000060
1977,0.000000,0.000073
1978,0.000000,0.000067
1979,0.000000,0.000070
1980,0.000000,0.000066
1981,0.000000,0.000058
1982,0.000000,0.000065
1983,0.000000,0.000059
1984,0.000000,0.000053
1985,0.000000,0.000052
1986,0.000000,0.000050
1987,0.000000,0.000047
1988,0.000000,0.000050
1989,0.000001,0.000043
1990,0.000000,0.000040
1991,0.000000,0.000042
1992,0.000000,0.000033
1993,0.000000,0.000034
1994,0.000000,0.000032
1995,0.000000,0.000031
1996,0.000000,0.000031
1997,0.000000,0.000026
1998,0.000000,0.000029
1999,0.000000,0.000028
2000,0.000000,0.000028
2001,0.000000,0.000021
2002,0.000000,0.000018
2003,0.000000,0.000021
2004,0.000000,0.000016
2005,0.000000,0.000017
2006,0.000000,0.000020
2007,0.000000,0.000020
2008,0.000000,0.000015
2009,0.000000,0.000017
2010,0.000000,0.000014
2011,0.000000,0.000020
2012,0.000000,0.000021
2013,0.000000,0.000019
