year,Webster
1880,13
1881,5
1882,17
1883,20
1884,16
1885,14
1886,17
1887,11
1888,19
1889,16
1890,22
1891,11
1892,12
1893,13
1894,20
1895,16
1896,15
1897,10
1898,22
1899,12
1900,23
1901,14
1902,20
1903,15
1904,14
1905,18
1906,26
1907,23
1908,24
1909,16
1910,19
1911,31
1912,49
1913,56
1914,72
1915,101
1916,100
1917,77
1918,85
1919,87
1920,85
1921,70
1922,89
1923,85
1924,86
1925,80
1926,67
1927,57
1928,69
1929,57
1930,49
1931,57
1932,53
1933,55
1934,57
1935,49
1936,46
1937,51
1938,49
1939,42
1940,38
1941,51
1942,37
1943,40
1944,55
1945,35
1946,54
1947,51
1948,42
1949,55
1950,45
1951,47
1952,43
1953,48
1954,44
1955,39
1956,51
1957,45
1958,45
1959,34
1960,35
1961,20
1962,34
1963,31
1964,38
1965,20
1966,22
1967,21
1968,22
1969,26
1970,16
1971,22
1972,20
1973,24
1974,17
1975,18
1976,17
1977,18
1978,22
1979,13
1980,13
1981,27
1982,11
1983,23
1984,54
1985,31
1986,26
1987,24
1988,26
1989,23
1990,18
1991,19
1992,14
1993,17
1994,21
1995,9
1996,8
1997,17
1998,13
1999,15
2000,16
2001,8
2002,16
2003,5
2004,14
2005,5
2006,8
2007,7
2008,10
2009,5
2010,8
2011,8
2012,10
