year,Weston (F),Weston (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000032
1883,0.000000,0.000000
1884,0.000000,0.000021
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000017
1891,0.000000,0.000000
1892,0.000000,0.000018
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000025
1897,0.000000,0.000000
1898,0.000000,0.000018
1899,0.000000,0.000018
1900,0.000000,0.000013
1901,0.000000,0.000000
1902,0.000000,0.000021
1903,0.000000,0.000016
1904,0.000000,0.000020
1905,0.000000,0.000012
1906,0.000000,0.000000
1907,0.000000,0.000015
1908,0.000000,0.000020
1909,0.000000,0.000014
1910,0.000000,0.000022
1911,0.000000,0.000019
1912,0.000000,0.000014
1913,0.000000,0.000021
1914,0.000000,0.000028
1915,0.000000,0.000023
1916,0.000000,0.000022
1917,0.000000,0.000025
1918,0.000000,0.000023
1919,0.000000,0.000030
1920,0.000000,0.000024
1921,0.000000,0.000020
1922,0.000000,0.000019
1923,0.000000,0.000028
1924,0.000000,0.000021
1925,0.000000,0.000018
1926,0.000000,0.000019
1927,0.000000,0.000022
1928,0.000000,0.000014
1929,0.000000,0.000019
1930,0.000000,0.000018
1931,0.000000,0.000021
1932,0.000000,0.000017
1933,0.000000,0.000017
1934,0.000000,0.000021
1935,0.000000,0.000020
1936,0.000000,0.000016
1937,0.000000,0.000023
1938,0.000000,0.000018
1939,0.000000,0.000011
1940,0.000000,0.000021
1941,0.000000,0.000015
1942,0.000000,0.000015
1943,0.000000,0.000012
1944,0.000000,0.000014
1945,0.000000,0.000014
1946,0.000000,0.000012
1947,0.000000,0.000011
1948,0.000000,0.000010
1949,0.000000,0.000008
1950,0.000000,0.000010
1951,0.000000,0.000013
1952,0.000000,0.000008
1953,0.000000,0.000009
1954,0.000000,0.000014
1955,0.000000,0.000010
1956,0.000000,0.000009
1957,0.000000,0.000015
1958,0.000000,0.000009
1959,0.000000,0.000010
1960,0.000000,0.000011
1961,0.000000,0.000014
1962,0.000000,0.000010
1963,0.000000,0.000010
1964,0.000000,0.000010
1965,0.000000,0.000014
1966,0.000000,0.000015
1967,0.000000,0.000019
1968,0.000000,0.000018
1969,0.000000,0.000019
1970,0.000000,0.000018
1971,0.000000,0.000024
1972,0.000000,0.000028
1973,0.000000,0.000026
1974,0.000000,0.000021
1975,0.000000,0.000030
1976,0.000000,0.000046
1977,0.000000,0.000054
1978,0.000000,0.000050
1979,0.000000,0.000052
1980,0.000000,0.000059
1981,0.000000,0.000066
1982,0.000000,0.000086
1983,0.000000,0.000090
1984,0.000000,0.000096
1985,0.000000,0.000096
1986,0.000003,0.000104
1987,0.000000,0.000112
1988,0.000000,0.000118
1989,0.000000,0.000124
1990,0.000000,0.000146
1991,0.000000,0.000179
1992,0.000000,0.000162
1993,0.000000,0.000150
1994,0.000000,0.000176
1995,0.000000,0.000164
1996,0.000000,0.000168
1997,0.000000,0.000161
1998,0.000000,0.000157
1999,0.000000,0.000166
2000,0.000000,0.000169
2001,0.000000,0.000163
2002,0.000000,0.000183
2003,0.000000,0.000167
2004,0.000002,0.000189
2005,0.000000,0.000193
2006,0.000000,0.000201
2007,0.000000,0.000213
2008,0.000000,0.000262
2009,0.000000,0.000335
2010,0.000000,0.000429
2011,0.000000,0.000479
2012,0.000000,0.000626
2013,0.000000,0.000685
