year,Wenona
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,6
1908,0
1909,0
1910,0
1911,6
1912,0
1913,7
1914,9
1915,15
1916,15
1917,23
1918,13
1919,16
1920,33
1921,36
1922,32
1923,17
1924,19
1925,17
1926,16
1927,7
1928,10
1929,10
1930,9
1931,12
1932,8
1933,14
1934,11
1935,11
1936,15
1937,9
1938,14
1939,0
1940,13
1941,5
1942,11
1943,7
1944,12
1945,11
1946,10
1947,8
1948,5
1949,6
1950,8
1951,7
1952,9
1953,9
1954,9
1955,7
1956,12
1957,11
1958,11
1959,12
1960,14
1961,14
1962,14
1963,10
1964,11
1965,7
1966,10
1967,8
1968,11
1969,25
1970,28
1971,42
1972,45
1973,32
1974,41
1975,52
1976,51
1977,50
1978,25
1979,25
1980,9
1981,13
1982,0
1983,0
1984,0
1985,0
1986,5
1987,7
1988,0
1989,0
1990,0
1991,0
1992,0
1993,6
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
