year,Willaim
1880,0
1881,0
1882,5
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,7
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,6
1907,0
1908,0
1909,0
1910,5
1911,5
1912,6
1913,6
1914,6
1915,13
1916,17
1917,16
1918,16
1919,16
1920,10
1921,20
1922,9
1923,26
1924,16
1925,20
1926,16
1927,20
1928,22
1929,20
1930,16
1931,15
1932,14
1933,9
1934,11
1935,12
1936,10
1937,8
1938,8
1939,18
1940,14
1941,19
1942,15
1943,13
1944,12
1945,12
1946,17
1947,9
1948,9
1949,11
1950,10
1951,18
1952,0
1953,15
1954,20
1955,22
1956,21
1957,20
1958,25
1959,23
1960,22
1961,25
1962,22
1963,23
1964,21
1965,26
1966,20
1967,18
1968,18
1969,19
1970,29
1971,22
1972,16
1973,11
1974,16
1975,19
1976,17
1977,15
1978,20
1979,23
1980,22
1981,20
1982,25
1983,19
1984,22
1985,29
1986,21
1987,34
1988,26
1989,33
1990,15
1991,17
1992,23
1993,12
1994,15
1995,12
1996,8
1997,7
1998,0
1999,9
2000,11
2001,7
2002,10
2003,0
2004,10
2005,6
2006,0
2007,7
2008,6
2009,8
2010,5
2011,6
2012,0
