year,Wylene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,7
1915,6
1916,7
1917,7
1918,16
1919,14
1920,15
1921,18
1922,15
1923,18
1924,18
1925,9
1926,18
1927,17
1928,16
1929,21
1930,17
1931,20
1932,21
1933,15
1934,30
1935,32
1936,24
1937,26
1938,18
1939,29
1940,24
1941,19
1942,21
1943,26
1944,23
1945,18
1946,22
1947,26
1948,15
1949,17
1950,20
1951,21
1952,25
1953,13
1954,20
1955,25
1956,17
1957,20
1958,21
1959,17
1960,11
1961,10
1962,18
1963,9
1964,9
1965,12
1966,9
1967,0
1968,6
1969,9
1970,12
1971,6
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,5
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
