year,Weldon (F),Weldon (M)
1880,0.000000,0.000000
1881,0.000000,0.000026
1882,0.000000,0.000000
1883,0.000000,0.000028
1884,0.000000,0.000029
1885,0.000000,0.000000
1886,0.000000,0.000020
1887,0.000000,0.000000
1888,0.000000,0.000033
1889,0.000000,0.000017
1890,0.000000,0.000027
1891,0.000000,0.000017
1892,0.000000,0.000030
1893,0.000000,0.000031
1894,0.000000,0.000032
1895,0.000000,0.000014
1896,0.000000,0.000036
1897,0.000000,0.000046
1898,0.000000,0.000026
1899,0.000000,0.000029
1900,0.000000,0.000029
1901,0.000000,0.000023
1902,0.000000,0.000026
1903,0.000000,0.000037
1904,0.000000,0.000035
1905,0.000000,0.000045
1906,0.000000,0.000051
1907,0.000000,0.000043
1908,0.000000,0.000082
1909,0.000000,0.000072
1910,0.000000,0.000080
1911,0.000000,0.000087
1912,0.000000,0.000107
1913,0.000000,0.000114
1914,0.000000,0.000123
1915,0.000000,0.000120
1916,0.000000,0.000110
1917,0.000000,0.000100
1918,0.000002,0.000099
1919,0.000000,0.000112
1920,0.000000,0.000144
1921,0.000000,0.000120
1922,0.000002,0.000138
1923,0.000000,0.000125
1924,0.000004,0.000115
1925,0.000000,0.000115
1926,0.000000,0.000135
1927,0.000000,0.000116
1928,0.000000,0.000123
1929,0.000000,0.000128
1930,0.000000,0.000110
1931,0.000002,0.000118
1932,0.000000,0.000138
1933,0.000000,0.000115
1934,0.000000,0.000114
1935,0.000000,0.000108
1936,0.000000,0.000106
1937,0.000000,0.000109
1938,0.000000,0.000102
1939,0.000000,0.000108
1940,0.000000,0.000089
1941,0.000000,0.000088
1942,0.000000,0.000084
1943,0.000000,0.000079
1944,0.000000,0.000076
1945,0.000000,0.000075
1946,0.000000,0.000063
1947,0.000000,0.000067
1948,0.000000,0.000057
1949,0.000000,0.000055
1950,0.000000,0.000050
1951,0.000000,0.000049
1952,0.000000,0.000042
1953,0.000000,0.000046
1954,0.000000,0.000036
1955,0.000000,0.000039
1956,0.000000,0.000043
1957,0.000000,0.000041
1958,0.000000,0.000035
1959,0.000000,0.000033
1960,0.000000,0.000030
1961,0.000000,0.000028
1962,0.000000,0.000026
1963,0.000000,0.000031
1964,0.000000,0.000029
1965,0.000000,0.000028
1966,0.000000,0.000028
1967,0.000000,0.000024
1968,0.000000,0.000025
1969,0.000000,0.000023
1970,0.000000,0.000021
1971,0.000000,0.000025
1972,0.000000,0.000026
1973,0.000000,0.000022
1974,0.000000,0.000021
1975,0.000000,0.000022
1976,0.000000,0.000018
1977,0.000000,0.000018
1978,0.000000,0.000018
1979,0.000000,0.000017
1980,0.000000,0.000015
1981,0.000000,0.000015
1982,0.000000,0.000017
1983,0.000000,0.000015
1984,0.000000,0.000012
1985,0.000000,0.000013
1986,0.000000,0.000012
1987,0.000000,0.000011
1988,0.000000,0.000011
1989,0.000000,0.000011
1990,0.000000,0.000008
1991,0.000000,0.000010
1992,0.000000,0.000007
1993,0.000000,0.000011
1994,0.000000,0.000012
1995,0.000000,0.000007
1996,0.000000,0.000007
1997,0.000000,0.000009
1998,0.000000,0.000005
1999,0.000000,0.000008
2000,0.000000,0.000006
2001,0.000000,0.000007
2002,0.000000,0.000006
2003,0.000000,0.000005
2004,0.000000,0.000006
2005,0.000000,0.000008
2006,0.000000,0.000009
2007,0.000000,0.000006
2008,0.000000,0.000005
2009,0.000000,0.000004
2010,0.000000,0.000006
2011,0.000000,0.000007
2012,0.000000,0.000006
2013,0.000000,0.000008
