year,Welford
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,5
1913,6
1914,0
1915,11
1916,13
1917,14
1918,11
1919,5
1920,11
1921,11
1922,14
1923,17
1924,8
1925,19
1926,10
1927,11
1928,11
1929,11
1930,13
1931,9
1932,10
1933,10
1934,8
1935,11
1936,12
1937,9
1938,8
1939,8
1940,8
1941,13
1942,15
1943,9
1944,7
1945,5
1946,11
1947,7
1948,6
1949,12
1950,7
1951,7
1952,9
1953,10
1954,8
1955,6
1956,9
1957,0
1958,0
1959,11
1960,5
1961,6
1962,6
1963,0
1964,7
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,7
1980,0
1981,0
1982,0
1983,0
1984,5
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
