year,Wonda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,5
1917,0
1918,0
1919,0
1920,5
1921,0
1922,0
1923,11
1924,7
1925,10
1926,6
1927,12
1928,10
1929,12
1930,16
1931,11
1932,22
1933,12
1934,11
1935,23
1936,18
1937,18
1938,14
1939,28
1940,19
1941,23
1942,22
1943,27
1944,28
1945,32
1946,27
1947,28
1948,32
1949,22
1950,35
1951,40
1952,54
1953,44
1954,61
1955,59
1956,58
1957,55
1958,64
1959,67
1960,60
1961,67
1962,57
1963,55
1964,47
1965,64
1966,63
1967,41
1968,34
1969,42
1970,40
1971,33
1972,22
1973,16
1974,22
1975,13
1976,8
1977,8
1978,11
1979,0
1980,7
1981,0
1982,5
1983,6
1984,0
1985,0
1986,7
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
