year,Wilburn (F),Wilburn (M)
1880,0.000000,0.000079
1881,0.000000,0.000073
1882,0.000000,0.000095
1883,0.000000,0.000051
1884,0.000000,0.000053
1885,0.000000,0.000054
1886,0.000000,0.000043
1887,0.000000,0.000049
1888,0.000000,0.000057
1889,0.000000,0.000038
1890,0.000000,0.000056
1891,0.000000,0.000042
1892,0.000000,0.000033
1893,0.000000,0.000046
1894,0.000000,0.000032
1895,0.000000,0.000026
1896,0.000000,0.000039
1897,0.000000,0.000043
1898,0.000000,0.000042
1899,0.000000,0.000038
1900,0.000000,0.000051
1901,0.000000,0.000038
1902,0.000000,0.000049
1903,0.000000,0.000055
1904,0.000000,0.000042
1905,0.000000,0.000064
1906,0.000000,0.000047
1907,0.000000,0.000058
1908,0.000000,0.000061
1909,0.000000,0.000053
1910,0.000000,0.000073
1911,0.000000,0.000076
1912,0.000000,0.000090
1913,0.000000,0.000102
1914,0.000000,0.000094
1915,0.000000,0.000107
1916,0.000000,0.000117
1917,0.000000,0.000113
1918,0.000002,0.000122
1919,0.000000,0.000130
1920,0.000000,0.000119
1921,0.000000,0.000130
1922,0.000000,0.000108
1923,0.000000,0.000131
1924,0.000000,0.000120
1925,0.000000,0.000120
1926,0.000000,0.000138
1927,0.000000,0.000116
1928,0.000000,0.000114
1929,0.000000,0.000106
1930,0.000000,0.000114
1931,0.000002,0.000116
1932,0.000000,0.000104
1933,0.000000,0.000103
1934,0.000002,0.000110
1935,0.000000,0.000093
1936,0.000000,0.000092
1937,0.000000,0.000084
1938,0.000000,0.000097
1939,0.000000,0.000086
1940,0.000000,0.000080
1941,0.000000,0.000069
1942,0.000000,0.000053
1943,0.000000,0.000053
1944,0.000000,0.000054
1945,0.000000,0.000043
1946,0.000000,0.000042
1947,0.000000,0.000039
1948,0.000000,0.000041
1949,0.000000,0.000032
1950,0.000000,0.000024
1951,0.000000,0.000021
1952,0.000000,0.000026
1953,0.000000,0.000021
1954,0.000000,0.000022
1955,0.000000,0.000024
1956,0.000000,0.000020
1957,0.000000,0.000016
1958,0.000000,0.000017
1959,0.000000,0.000016
1960,0.000000,0.000013
1961,0.000000,0.000016
1962,0.000000,0.000015
1963,0.000000,0.000015
1964,0.000000,0.000017
1965,0.000000,0.000015
1966,0.000000,0.000015
1967,0.000000,0.000014
1968,0.000000,0.000015
1969,0.000000,0.000011
1970,0.000000,0.000009
1971,0.000000,0.000012
1972,0.000000,0.000010
1973,0.000000,0.000013
1974,0.000000,0.000011
1975,0.000000,0.000007
1976,0.000000,0.000011
1977,0.000000,0.000006
1978,0.000000,0.000007
1979,0.000000,0.000007
1980,0.000000,0.000008
1981,0.000000,0.000005
1982,0.000000,0.000002
1983,0.000000,0.000003
1984,0.000000,0.000004
1985,0.000000,0.000004
1986,0.000000,0.000005
1987,0.000000,0.000002
1988,0.000000,0.000003
1989,0.000000,0.000004
1990,0.000000,0.000002
1991,0.000000,0.000003
1992,0.000000,0.000003
1993,0.000000,0.000002
1994,0.000000,0.000002
1995,0.000000,0.000002
1996,0.000000,0.000000
1997,0.000000,0.000002
1998,0.000000,0.000002
1999,0.000000,0.000001
2000,0.000000,0.000000
2001,0.000000,0.000000
2002,0.000000,0.000002
2003,0.000000,0.000000
2004,0.000000,0.000002
2005,0.000000,0.000000
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000002
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000000
