year,Whitney (F),Whitney (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000037
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000028
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000015
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000020
1898,0.000000,0.000000
1899,0.000000,0.000027
1900,0.000000,0.000016
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000016
1904,0.000000,0.000015
1905,0.000000,0.000012
1906,0.000000,0.000016
1907,0.000000,0.000015
1908,0.000000,0.000016
1909,0.000000,0.000025
1910,0.000000,0.000019
1911,0.000000,0.000012
1912,0.000000,0.000015
1913,0.000000,0.000029
1914,0.000000,0.000025
1915,0.000000,0.000025
1916,0.000000,0.000026
1917,0.000000,0.000021
1918,0.000000,0.000023
1919,0.000000,0.000021
1920,0.000000,0.000027
1921,0.000000,0.000024
1922,0.000000,0.000021
1923,0.000000,0.000018
1924,0.000000,0.000016
1925,0.000000,0.000018
1926,0.000000,0.000017
1927,0.000000,0.000016
1928,0.000000,0.000016
1929,0.000000,0.000018
1930,0.000000,0.000021
1931,0.000000,0.000023
1932,0.000000,0.000014
1933,0.000000,0.000021
1934,0.000000,0.000014
1935,0.000000,0.000015
1936,0.000003,0.000009
1937,0.000003,0.000012
1938,0.000006,0.000014
1939,0.000002,0.000010
1940,0.000004,0.000022
1941,0.000004,0.000014
1942,0.000004,0.000015
1943,0.000003,0.000015
1944,0.000003,0.000014
1945,0.000003,0.000017
1946,0.000003,0.000015
1947,0.000004,0.000010
1948,0.000002,0.000013
1949,0.000002,0.000011
1950,0.000004,0.000013
1951,0.000000,0.000015
1952,0.000005,0.000014
1953,0.000003,0.000012
1954,0.000003,0.000013
1955,0.000002,0.000013
1956,0.000003,0.000010
1957,0.000003,0.000012
1958,0.000005,0.000013
1959,0.000003,0.000013
1960,0.000007,0.000013
1961,0.000012,0.000017
1962,0.000047,0.000019
1963,0.000068,0.000020
1964,0.000085,0.000031
1965,0.000082,0.000024
1966,0.000064,0.000022
1967,0.000065,0.000022
1968,0.000074,0.000025
1969,0.000083,0.000019
1970,0.000097,0.000022
1971,0.000095,0.000029
1972,0.000094,0.000020
1973,0.000097,0.000021
1974,0.000121,0.000024
1975,0.000136,0.000022
1976,0.000176,0.000022
1977,0.000218,0.000028
1978,0.000245,0.000033
1979,0.000285,0.000039
1980,0.000339,0.000041
1981,0.000376,0.000039
1982,0.000421,0.000044
1983,0.000487,0.000048
1984,0.000656,0.000058
1985,0.001074,0.000066
1986,0.002681,0.000069
1987,0.002474,0.000043
1988,0.002125,0.000031
1989,0.001641,0.000021
1990,0.001494,0.000019
1991,0.001345,0.000010
1992,0.001044,0.000008
1993,0.001082,0.000007
1994,0.000959,0.000007
1995,0.000759,0.000007
1996,0.000633,0.000007
1997,0.000541,0.000005
1998,0.000438,0.000004
1999,0.000386,0.000005
2000,0.000316,0.000006
2001,0.000240,0.000003
2002,0.000228,0.000004
2003,0.000178,0.000004
2004,0.000177,0.000006
2005,0.000170,0.000003
2006,0.000143,0.000005
2007,0.000133,0.000003
2008,0.000138,0.000002
2009,0.000156,0.000002
2010,0.000146,0.000003
2011,0.000154,0.000001
2012,0.000143,0.000001
2013,0.000132,0.000002
2014,0.000125,0.000004
2015,0.000121,0.000002
2016,0.000102,0.000003
2017,0.000092,0.000004
2018,0.000085,0.000002
2019,0.000088,0.000002
2020,0.000083,0.000003
