year,Wilhelmenia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,5
1906,0
1907,0
1908,0
1909,6
1910,0
1911,8
1912,7
1913,8
1914,10
1915,12
1916,11
1917,19
1918,18
1919,16
1920,32
1921,22
1922,25
1923,17
1924,29
1925,28
1926,21
1927,19
1928,17
1929,19
1930,20
1931,29
1932,21
1933,27
1934,24
1935,22
1936,18
1937,17
1938,24
1939,33
1940,35
1941,35
1942,34
1943,25
1944,37
1945,19
1946,25
1947,28
1948,29
1949,33
1950,31
1951,22
1952,28
1953,17
1954,15
1955,11
1956,17
1957,11
1958,11
1959,14
1960,9
1961,7
1962,8
1963,13
1964,13
1965,7
1966,0
1967,7
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
