year,Willene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,5
1906,6
1907,0
1908,0
1909,9
1910,0
1911,0
1912,10
1913,15
1914,26
1915,30
1916,32
1917,25
1918,48
1919,48
1920,41
1921,65
1922,65
1923,60
1924,77
1925,77
1926,73
1927,73
1928,69
1929,97
1930,93
1931,76
1932,70
1933,84
1934,69
1935,81
1936,71
1937,86
1938,81
1939,67
1940,61
1941,67
1942,67
1943,71
1944,61
1945,54
1946,59
1947,60
1948,58
1949,55
1950,47
1951,46
1952,34
1953,41
1954,37
1955,51
1956,30
1957,32
1958,28
1959,26
1960,28
1961,19
1962,15
1963,28
1964,19
1965,22
1966,13
1967,13
1968,13
1969,8
1970,8
1971,11
1972,5
1973,5
1974,0
1975,5
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
