year,Windy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,9
1949,7
1950,15
1951,13
1952,13
1953,23
1954,23
1955,17
1956,38
1957,33
1958,54
1959,52
1960,62
1961,52
1962,61
1963,59
1964,65
1965,69
1966,82
1967,161
1968,159
1969,178
1970,220
1971,249
1972,270
1973,242
1974,276
1975,310
1976,251
1977,215
1978,220
1979,227
1980,153
1981,146
1982,87
1983,85
1984,78
1985,60
1986,48
1987,56
1988,45
1989,30
1990,52
1991,28
1992,24
1993,30
1994,19
1995,17
1996,21
1997,19
1998,23
1999,13
2000,14
2001,11
2002,11
2003,13
2004,11
2005,14
2006,14
2007,15
2008,7
2009,6
2010,8
2011,7
2012,9
