year,Weyman
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,6
1912,0
1913,0
1914,5
1915,10
1916,9
1917,5
1918,7
1919,18
1920,12
1921,13
1922,12
1923,17
1924,10
1925,17
1926,9
1927,15
1928,11
1929,17
1930,14
1931,14
1932,14
1933,7
1934,14
1935,11
1936,11
1937,14
1938,15
1939,11
1940,12
1941,14
1942,6
1943,18
1944,12
1945,15
1946,7
1947,6
1948,7
1949,6
1950,13
1951,8
1952,11
1953,8
1954,0
1955,9
1956,16
1957,9
1958,9
1959,0
1960,10
1961,0
1962,6
1963,8
1964,8
1965,6
1966,0
1967,5
1968,0
1969,0
1970,5
1971,0
1972,0
1973,0
1974,0
1975,10
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
