year,Wiliam
1880,0
1881,5
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,8
1913,0
1914,8
1915,6
1916,6
1917,0
1918,10
1919,5
1920,10
1921,7
1922,14
1923,9
1924,11
1925,8
1926,15
1927,5
1928,10
1929,13
1930,9
1931,0
1932,8
1933,0
1934,10
1935,0
1936,6
1937,6
1938,6
1939,9
1940,5
1941,5
1942,13
1943,12
1944,6
1945,5
1946,5
1947,10
1948,11
1949,8
1950,7
1951,14
1952,9
1953,9
1954,6
1955,10
1956,6
1957,13
1958,12
1959,13
1960,13
1961,6
1962,9
1963,10
1964,7
1965,8
1966,8
1967,11
1968,15
1969,15
1970,17
1971,21
1972,12
1973,18
1974,13
1975,19
1976,12
1977,17
1978,10
1979,20
1980,14
1981,11
1982,28
1983,19
1984,20
1985,25
1986,25
1987,23
1988,21
1989,12
1990,17
1991,15
1992,6
1993,11
1994,12
1995,15
1996,6
1997,12
1998,9
1999,12
2000,14
2001,14
2002,10
2003,10
2004,8
2005,8
2006,10
2007,13
2008,20
2009,14
2010,9
2011,17
2012,15
