year,Wilbert (F),Wilbert (M)
1880,0.000000,0.000144
1881,0.000000,0.000150
1882,0.000000,0.000090
1883,0.000000,0.000175
1884,0.000000,0.000107
1885,0.000000,0.000100
1886,0.000000,0.000067
1887,0.000000,0.000077
1888,0.000000,0.000097
1889,0.000000,0.000087
1890,0.000000,0.000093
1891,0.000000,0.000098
1892,0.000000,0.000129
1893,0.000000,0.000098
1894,0.000000,0.000089
1895,0.000000,0.000100
1896,0.000000,0.000112
1897,0.000000,0.000115
1898,0.000000,0.000121
1899,0.000000,0.000109
1900,0.000000,0.000140
1901,0.000000,0.000150
1902,0.000000,0.000129
1903,0.000000,0.000155
1904,0.000000,0.000149
1905,0.000000,0.000167
1906,0.000000,0.000198
1907,0.000000,0.000178
1908,0.000000,0.000207
1909,0.000000,0.000192
1910,0.000000,0.000247
1911,0.000000,0.000259
1912,0.000000,0.000295
1913,0.000000,0.000356
1914,0.000000,0.000385
1915,0.000003,0.000355
1916,0.000000,0.000370
1917,0.000000,0.000376
1918,0.000000,0.000364
1919,0.000002,0.000383
1920,0.000002,0.000383
1921,0.000000,0.000385
1922,0.000000,0.000394
1923,0.000003,0.000368
1924,0.000000,0.000341
1925,0.000003,0.000344
1926,0.000003,0.000339
1927,0.000006,0.000334
1928,0.000003,0.000328
1929,0.000005,0.000312
1930,0.000004,0.000323
1931,0.000004,0.000321
1932,0.000004,0.000309
1933,0.000000,0.000313
1934,0.000004,0.000287
1935,0.000000,0.000258
1936,0.000000,0.000282
1937,0.000000,0.000259
1938,0.000003,0.000293
1939,0.000005,0.000257
1940,0.000000,0.000246
1941,0.000002,0.000236
1942,0.000000,0.000233
1943,0.000000,0.000215
1944,0.000000,0.000195
1945,0.000000,0.000202
1946,0.000000,0.000181
1947,0.000000,0.000166
1948,0.000002,0.000162
1949,0.000000,0.000179
1950,0.000001,0.000164
1951,0.000000,0.000148
1952,0.000002,0.000155
1953,0.000000,0.000139
1954,0.000000,0.000129
1955,0.000000,0.000127
1956,0.000001,0.000124
1957,0.000000,0.000118
1958,0.000000,0.000102
1959,0.000000,0.000110
1960,0.000001,0.000111
1961,0.000000,0.000089
1962,0.000000,0.000086
1963,0.000000,0.000088
1964,0.000000,0.000084
1965,0.000002,0.000074
1966,0.000000,0.000083
1967,0.000001,0.000070
1968,0.000000,0.000076
1969,0.000000,0.000078
1970,0.000000,0.000072
1971,0.000002,0.000057
1972,0.000000,0.000059
1973,0.000000,0.000059
1974,0.000002,0.000065
1975,0.000000,0.000053
1976,0.000000,0.000049
1977,0.000000,0.000057
1978,0.000000,0.000046
1979,0.000000,0.000047
1980,0.000000,0.000053
1981,0.000000,0.000042
1982,0.000000,0.000046
1983,0.000000,0.000039
1984,0.000000,0.000031
1985,0.000000,0.000032
1986,0.000000,0.000033
1987,0.000000,0.000031
1988,0.000000,0.000028
1989,0.000000,0.000026
1990,0.000000,0.000030
1991,0.000000,0.000027
1992,0.000000,0.000025
1993,0.000000,0.000023
1994,0.000000,0.000021
1995,0.000000,0.000022
1996,0.000000,0.000013
1997,0.000000,0.000021
1998,0.000000,0.000022
1999,0.000000,0.000015
2000,0.000000,0.000018
2001,0.000000,0.000016
2002,0.000000,0.000019
2003,0.000000,0.000015
2004,0.000000,0.000014
2005,0.000000,0.000017
2006,0.000000,0.000016
2007,0.000000,0.000015
2008,0.000000,0.000015
2009,0.000000,0.000015
2010,0.000000,0.000011
2011,0.000000,0.000012
2012,0.000000,0.000012
