year,Wyona
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,7
1912,5
1913,18
1914,12
1915,10
1916,15
1917,22
1918,10
1919,19
1920,17
1921,16
1922,26
1923,22
1924,32
1925,20
1926,19
1927,28
1928,25
1929,20
1930,31
1931,21
1932,17
1933,23
1934,19
1935,25
1936,17
1937,18
1938,26
1939,14
1940,19
1941,14
1942,16
1943,14
1944,14
1945,8
1946,13
1947,10
1948,14
1949,7
1950,13
1951,7
1952,9
1953,0
1954,9
1955,6
1956,6
1957,6
1958,7
1959,0
1960,5
1961,0
1962,10
1963,6
1964,0
1965,9
1966,0
1967,0
1968,6
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
