year,Wash
1880,21
1881,16
1882,26
1883,20
1884,19
1885,18
1886,11
1887,11
1888,24
1889,17
1890,7
1891,12
1892,16
1893,0
1894,8
1895,9
1896,8
1897,14
1898,9
1899,12
1900,19
1901,12
1902,11
1903,10
1904,12
1905,14
1906,13
1907,11
1908,11
1909,14
1910,10
1911,13
1912,12
1913,16
1914,23
1915,26
1916,25
1917,18
1918,20
1919,29
1920,25
1921,31
1922,24
1923,28
1924,18
1925,24
1926,16
1927,18
1928,15
1929,16
1930,18
1931,21
1932,19
1933,15
1934,11
1935,7
1936,11
1937,18
1938,15
1939,16
1940,14
1941,15
1942,10
1943,10
1944,13
1945,12
1946,15
1947,5
1948,16
1949,18
1950,11
1951,8
1952,7
1953,11
1954,9
1955,10
1956,5
1957,10
1958,9
1959,7
1960,0
1961,8
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,5
1970,0
1971,0
1972,5
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
