year,Wellington (F),Wellington (M)
1880,0.000000,0.000060
1881,0.000000,0.000067
1882,0.000000,0.000036
1883,0.000000,0.000000
1884,0.000000,0.000041
1885,0.000000,0.000046
1886,0.000000,0.000031
1887,0.000000,0.000000
1888,0.000000,0.000030
1889,0.000000,0.000021
1890,0.000000,0.000027
1891,0.000000,0.000049
1892,0.000000,0.000018
1893,0.000000,0.000040
1894,0.000000,0.000027
1895,0.000000,0.000014
1896,0.000000,0.000022
1897,0.000000,0.000023
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000020
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000018
1904,0.000000,0.000015
1905,0.000000,0.000019
1906,0.000000,0.000021
1907,0.000000,0.000026
1908,0.000000,0.000025
1909,0.000000,0.000037
1910,0.000000,0.000019
1911,0.000000,0.000026
1912,0.000000,0.000024
1913,0.000000,0.000022
1914,0.000000,0.000023
1915,0.000000,0.000023
1916,0.000000,0.000024
1917,0.000000,0.000029
1918,0.000000,0.000026
1919,0.000000,0.000023
1920,0.000000,0.000026
1921,0.000000,0.000020
1922,0.000000,0.000026
1923,0.000000,0.000018
1924,0.000000,0.000022
1925,0.000000,0.000017
1926,0.000000,0.000016
1927,0.000000,0.000012
1928,0.000000,0.000015
1929,0.000000,0.000009
1930,0.000000,0.000012
1931,0.000000,0.000016
1932,0.000000,0.000009
1933,0.000000,0.000012
1934,0.000000,0.000013
1935,0.000000,0.000011
1936,0.000000,0.000008
1937,0.000000,0.000011
1938,0.000000,0.000009
1939,0.000000,0.000007
1940,0.000000,0.000008
1941,0.000000,0.000010
1942,0.000000,0.000010
1943,0.000000,0.000008
1944,0.000000,0.000007
1945,0.000000,0.000007
1946,0.000000,0.000008
1947,0.000000,0.000006
1948,0.000000,0.000005
1949,0.000000,0.000007
1950,0.000000,0.000005
1951,0.000000,0.000004
1952,0.000000,0.000004
1953,0.000000,0.000007
1954,0.000000,0.000006
1955,0.000000,0.000002
1956,0.000000,0.000004
1957,0.000000,0.000004
1958,0.000000,0.000003
1959,0.000000,0.000003
1960,0.000000,0.000005
1961,0.000000,0.000005
1962,0.000000,0.000003
1963,0.000000,0.000004
1964,0.000000,0.000004
1965,0.000000,0.000005
1966,0.000000,0.000003
1967,0.000000,0.000008
1968,0.000000,0.000003
1969,0.000000,0.000003
1970,0.000000,0.000004
1971,0.000000,0.000003
1972,0.000000,0.000006
1973,0.000000,0.000006
1974,0.000000,0.000003
1975,0.000000,0.000005
1976,0.000000,0.000006
1977,0.000000,0.000003
1978,0.000000,0.000005
1979,0.000000,0.000003
1980,0.000000,0.000007
1981,0.000000,0.000005
1982,0.000000,0.000006
1983,0.000000,0.000005
1984,0.000000,0.000004
1985,0.000000,0.000004
1986,0.000000,0.000004
1987,0.000000,0.000005
1988,0.000000,0.000004
1989,0.000000,0.000003
1990,0.000000,0.000005
1991,0.000000,0.000004
1992,0.000000,0.000005
1993,0.000000,0.000004
1994,0.000000,0.000005
1995,0.000000,0.000005
1996,0.000000,0.000007
1997,0.000000,0.000005
1998,0.000000,0.000004
1999,0.000000,0.000005
2000,0.000000,0.000006
2001,0.000000,0.000005
2002,0.000000,0.000004
2003,0.000000,0.000004
2004,0.000000,0.000006
2005,0.000000,0.000004
2006,0.000000,0.000005
2007,0.000000,0.000003
2008,0.000000,0.000004
2009,0.000000,0.000004
2010,0.000000,0.000005
2011,0.000000,0.000002
2012,0.000000,0.000007
2013,0.000000,0.000004
2014,0.000000,0.000004
2015,0.000000,0.000006
2016,0.000000,0.000009
2017,0.000000,0.000009
2018,0.000000,0.000009
2019,0.000000,0.000012
2020,0.000000,0.000013
