year,Wilford
1880,18
1881,18
1882,25
1883,20
1884,16
1885,20
1886,12
1887,13
1888,17
1889,11
1890,16
1891,20
1892,15
1893,28
1894,28
1895,18
1896,18
1897,22
1898,15
1899,11
1900,24
1901,15
1902,17
1903,18
1904,18
1905,25
1906,29
1907,31
1908,38
1909,31
1910,39
1911,69
1912,92
1913,123
1914,169
1915,240
1916,225
1917,232
1918,271
1919,238
1920,249
1921,271
1922,268
1923,223
1924,257
1925,257
1926,276
1927,232
1928,249
1929,215
1930,210
1931,207
1932,169
1933,139
1934,193
1935,153
1936,158
1937,164
1938,150
1939,145
1940,143
1941,122
1942,151
1943,143
1944,144
1945,128
1946,125
1947,129
1948,128
1949,132
1950,118
1951,132
1952,114
1953,112
1954,111
1955,116
1956,101
1957,93
1958,94
1959,80
1960,70
1961,68
1962,67
1963,63
1964,64
1965,58
1966,50
1967,44
1968,63
1969,51
1970,52
1971,37
1972,48
1973,26
1974,43
1975,43
1976,37
1977,37
1978,32
1979,34
1980,25
1981,20
1982,37
1983,24
1984,26
1985,11
1986,22
1987,18
1988,20
1989,25
1990,15
1991,18
1992,14
1993,15
1994,7
1995,14
1996,9
1997,10
1998,8
1999,17
2000,14
2001,13
2002,5
2003,5
2004,8
2005,9
2006,5
2007,5
2008,8
2009,0
2010,15
2011,10
2012,7
