year,Wyndell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,6
1928,0
1929,6
1930,0
1931,0
1932,6
1933,8
1934,8
1935,11
1936,8
1937,0
1938,6
1939,0
1940,8
1941,5
1942,0
1943,5
1944,0
1945,5
1946,0
1947,11
1948,5
1949,0
1950,0
1951,7
1952,8
1953,6
1954,10
1955,6
1956,6
1957,6
1958,10
1959,13
1960,10
1961,7
1962,7
1963,11
1964,10
1965,9
1966,10
1967,13
1968,6
1969,9
1970,7
1971,15
1972,7
1973,6
1974,0
1975,6
1976,5
1977,0
1978,0
1979,0
1980,6
1981,6
1982,0
1983,5
1984,0
1985,0
1986,0
1987,6
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
