year,Wilton (F),Wilton (M)
1880,0.000000,0.000035
1881,0.000000,0.000026
1882,0.000000,0.000045
1883,0.000000,0.000037
1884,0.000000,0.000033
1885,0.000000,0.000033
1886,0.000000,0.000020
1887,0.000000,0.000024
1888,0.000000,0.000000
1889,0.000000,0.000031
1890,0.000000,0.000023
1891,0.000000,0.000038
1892,0.000000,0.000015
1893,0.000000,0.000028
1894,0.000000,0.000024
1895,0.000000,0.000026
1896,0.000000,0.000022
1897,0.000000,0.000023
1898,0.000000,0.000018
1899,0.000000,0.000024
1900,0.000000,0.000027
1901,0.000000,0.000017
1902,0.000000,0.000026
1903,0.000000,0.000047
1904,0.000000,0.000057
1905,0.000000,0.000054
1906,0.000000,0.000044
1907,0.000000,0.000045
1908,0.000000,0.000041
1909,0.000000,0.000041
1910,0.000000,0.000036
1911,0.000000,0.000045
1912,0.000000,0.000050
1913,0.000000,0.000084
1914,0.000000,0.000073
1915,0.000000,0.000080
1916,0.000000,0.000079
1917,0.000000,0.000083
1918,0.000000,0.000071
1919,0.000003,0.000088
1920,0.000003,0.000070
1921,0.000004,0.000079
1922,0.000000,0.000085
1923,0.000000,0.000082
1924,0.000000,0.000087
1925,0.000002,0.000077
1926,0.000002,0.000070
1927,0.000000,0.000080
1928,0.000000,0.000077
1929,0.000000,0.000074
1930,0.000000,0.000065
1931,0.000002,0.000064
1932,0.000000,0.000061
1933,0.000000,0.000072
1934,0.000000,0.000059
1935,0.000000,0.000057
1936,0.000000,0.000068
1937,0.000000,0.000058
1938,0.000000,0.000047
1939,0.000000,0.000045
1940,0.000000,0.000046
1941,0.000000,0.000047
1942,0.000000,0.000049
1943,0.000002,0.000046
1944,0.000000,0.000043
1945,0.000000,0.000034
1946,0.000000,0.000030
1947,0.000000,0.000029
1948,0.000000,0.000033
1949,0.000000,0.000027
1950,0.000000,0.000033
1951,0.000000,0.000030
1952,0.000000,0.000030
1953,0.000000,0.000022
1954,0.000000,0.000020
1955,0.000000,0.000022
1956,0.000000,0.000021
1957,0.000000,0.000018
1958,0.000000,0.000020
1959,0.000000,0.000020
1960,0.000000,0.000019
1961,0.000000,0.000014
1962,0.000000,0.000017
1963,0.000000,0.000015
1964,0.000000,0.000016
1965,0.000000,0.000015
1966,0.000000,0.000018
1967,0.000000,0.000013
1968,0.000000,0.000013
1969,0.000000,0.000016
1970,0.000000,0.000014
1971,0.000000,0.000015
1972,0.000000,0.000014
1973,0.000000,0.000017
1974,0.000000,0.000012
1975,0.000000,0.000013
1976,0.000000,0.000011
1977,0.000000,0.000011
1978,0.000000,0.000010
1979,0.000000,0.000013
1980,0.000000,0.000012
1981,0.000000,0.000010
1982,0.000000,0.000009
1983,0.000000,0.000013
1984,0.000000,0.000009
1985,0.000000,0.000010
1986,0.000000,0.000008
1987,0.000000,0.000007
1988,0.000000,0.000005
1989,0.000000,0.000010
1990,0.000000,0.000010
1991,0.000000,0.000007
1992,0.000000,0.000008
1993,0.000000,0.000012
1994,0.000000,0.000008
1995,0.000000,0.000006
1996,0.000000,0.000008
1997,0.000000,0.000007
1998,0.000000,0.000005
1999,0.000000,0.000009
2000,0.000000,0.000005
2001,0.000000,0.000008
2002,0.000000,0.000007
2003,0.000000,0.000007
2004,0.000000,0.000007
2005,0.000000,0.000007
2006,0.000000,0.000006
2007,0.000000,0.000008
2008,0.000000,0.000005
2009,0.000000,0.000005
2010,0.000000,0.000004
2011,0.000000,0.000005
2012,0.000000,0.000006
2013,0.000000,0.000005
2014,0.000000,0.000004
2015,0.000000,0.000007
2016,0.000000,0.000005
2017,0.000000,0.000005
2018,0.000000,0.000003
2019,0.000000,0.000004
2020,0.000000,0.000004
