year,Wilhelmena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,6
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,7
1905,6
1906,0
1907,5
1908,0
1909,0
1910,8
1911,5
1912,13
1913,15
1914,17
1915,13
1916,24
1917,15
1918,15
1919,26
1920,21
1921,22
1922,10
1923,23
1924,23
1925,19
1926,15
1927,15
1928,22
1929,24
1930,26
1931,13
1932,17
1933,12
1934,20
1935,19
1936,14
1937,14
1938,10
1939,17
1940,19
1941,11
1942,11
1943,12
1944,14
1945,13
1946,16
1947,15
1948,19
1949,13
1950,16
1951,12
1952,13
1953,7
1954,5
1955,6
1956,8
1957,0
1958,10
1959,7
1960,0
1961,5
1962,0
1963,6
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
