year,Wayman (F),Wayman (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000029
1885,0.000000,0.000033
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000017
1892,0.000000,0.000021
1893,0.000000,0.000015
1894,0.000000,0.000021
1895,0.000000,0.000017
1896,0.000000,0.000025
1897,0.000000,0.000023
1898,0.000000,0.000000
1899,0.000000,0.000027
1900,0.000000,0.000029
1901,0.000000,0.000000
1902,0.000000,0.000018
1903,0.000000,0.000013
1904,0.000000,0.000020
1905,0.000000,0.000000
1906,0.000000,0.000026
1907,0.000000,0.000019
1908,0.000000,0.000020
1909,0.000000,0.000010
1910,0.000000,0.000024
1911,0.000000,0.000020
1912,0.000000,0.000016
1913,0.000000,0.000020
1914,0.000000,0.000015
1915,0.000000,0.000018
1916,0.000000,0.000017
1917,0.000000,0.000014
1918,0.000000,0.000018
1919,0.000000,0.000019
1920,0.000000,0.000019
1921,0.000000,0.000021
1922,0.000000,0.000021
1923,0.000000,0.000021
1924,0.000000,0.000021
1925,0.000000,0.000013
1926,0.000000,0.000014
1927,0.000000,0.000020
1928,0.000000,0.000016
1929,0.000000,0.000019
1930,0.000000,0.000018
1931,0.000000,0.000017
1932,0.000000,0.000022
1933,0.000000,0.000019
1934,0.000000,0.000018
1935,0.000000,0.000017
1936,0.000000,0.000017
1937,0.000000,0.000016
1938,0.000000,0.000018
1939,0.000000,0.000017
1940,0.000000,0.000014
1941,0.000000,0.000017
1942,0.000000,0.000017
1943,0.000000,0.000016
1944,0.000000,0.000015
1945,0.000000,0.000014
1946,0.000000,0.000015
1947,0.000000,0.000010
1948,0.000000,0.000012
1949,0.000000,0.000014
1950,0.000000,0.000017
1951,0.000000,0.000014
1952,0.000000,0.000012
1953,0.000000,0.000013
1954,0.000000,0.000014
1955,0.000000,0.000010
1956,0.000000,0.000011
1957,0.000000,0.000010
1958,0.000000,0.000010
1959,0.000000,0.000010
1960,0.000000,0.000008
1961,0.000000,0.000008
1962,0.000000,0.000007
1963,0.000000,0.000007
1964,0.000000,0.000009
1965,0.000000,0.000008
1966,0.000000,0.000005
1967,0.000000,0.000008
1968,0.000000,0.000008
1969,0.000000,0.000006
1970,0.000000,0.000007
1971,0.000000,0.000006
1972,0.000000,0.000006
1973,0.000000,0.000008
1974,0.000000,0.000007
1975,0.000000,0.000008
1976,0.000000,0.000008
1977,0.000000,0.000004
1978,0.000000,0.000005
1979,0.000000,0.000007
1980,0.000000,0.000003
1981,0.000000,0.000003
1982,0.000000,0.000004
1983,0.000000,0.000004
1984,0.000000,0.000004
1985,0.000000,0.000003
1986,0.000000,0.000004
1987,0.000000,0.000004
1988,0.000000,0.000004
1989,0.000000,0.000004
1990,0.000000,0.000003
1991,0.000000,0.000003
1992,0.000000,0.000003
1993,0.000000,0.000003
1994,0.000000,0.000002
1995,0.000000,0.000002
1996,0.000000,0.000003
1997,0.000000,0.000002
1998,0.000000,0.000002
1999,0.000000,0.000000
2000,0.000000,0.000002
2001,0.000000,0.000002
2002,0.000000,0.000002
2003,0.000000,0.000000
2004,0.000000,0.000001
2005,0.000000,0.000000
2006,0.000000,0.000001
2007,0.000000,0.000002
2008,0.000000,0.000001
2009,0.000000,0.000000
2010,0.000000,0.000002
2011,0.000000,0.000000
2012,0.000000,0.000000
2013,0.000000,0.000000
