year,Vicky (F),Vicky (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000005,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000003,0.000000
1917,0.000002,0.000000
1918,0.000007,0.000000
1919,0.000006,0.000000
1920,0.000006,0.000000
1921,0.000007,0.000000
1922,0.000008,0.000000
1923,0.000011,0.000000
1924,0.000010,0.000000
1925,0.000009,0.000000
1926,0.000014,0.000000
1927,0.000006,0.000000
1928,0.000008,0.000000
1929,0.000009,0.000000
1930,0.000013,0.000000
1931,0.000010,0.000000
1932,0.000008,0.000000
1933,0.000012,0.000000
1934,0.000012,0.000000
1935,0.000012,0.000000
1936,0.000016,0.000000
1937,0.000020,0.000000
1938,0.000035,0.000000
1939,0.000038,0.000000
1940,0.000050,0.000000
1941,0.000050,0.000002
1942,0.000111,0.000000
1943,0.000133,0.000000
1944,0.000157,0.000003
1945,0.000205,0.000006
1946,0.000186,0.000003
1947,0.000229,0.000006
1948,0.000249,0.000003
1949,0.000294,0.000004
1950,0.000356,0.000004
1951,0.000391,0.000006
1952,0.000463,0.000006
1953,0.000483,0.000005
1954,0.000513,0.000005
1955,0.000574,0.000004
1956,0.000634,0.000006
1957,0.000701,0.000005
1958,0.000647,0.000004
1959,0.000589,0.000003
1960,0.000571,0.000001
1961,0.000533,0.000003
1962,0.000504,0.000002
1963,0.000489,0.000004
1964,0.000416,0.000002
1965,0.000376,0.000004
1966,0.000310,0.000002
1967,0.000336,0.000003
1968,0.000322,0.000003
1969,0.000277,0.000003
1970,0.000230,0.000002
1971,0.000209,0.000000
1972,0.000187,0.000002
1973,0.000177,0.000000
1974,0.000146,0.000000
1975,0.000127,0.000000
1976,0.000119,0.000000
1977,0.000102,0.000000
1978,0.000102,0.000000
1979,0.000072,0.000000
1980,0.000074,0.000000
1981,0.000070,0.000000
1982,0.000061,0.000001
1983,0.000054,0.000000
1984,0.000059,0.000002
1985,0.000055,0.000000
1986,0.000054,0.000001
1987,0.000055,0.000002
1988,0.000046,0.000000
1989,0.000054,0.000000
1990,0.000050,0.000002
1991,0.000046,0.000000
1992,0.000045,0.000001
1993,0.000041,0.000000
1994,0.000039,0.000000
1995,0.000034,0.000000
1996,0.000040,0.000000
1997,0.000030,0.000002
1998,0.000028,0.000000
1999,0.000033,0.000000
2000,0.000034,0.000000
2001,0.000031,0.000002
2002,0.000033,0.000000
2003,0.000037,0.000000
2004,0.000035,0.000000
2005,0.000042,0.000000
2006,0.000033,0.000000
2007,0.000032,0.000000
2008,0.000031,0.000000
2009,0.000033,0.000000
2010,0.000028,0.000000
2011,0.000025,0.000000
2012,0.000024,0.000000
2013,0.000022,0.000000
2014,0.000023,0.000000
2015,0.000028,0.000000
2016,0.000023,0.000000
2017,0.000022,0.000000
2018,0.000013,0.000000
2019,0.000014,0.000000
2020,0.000012,0.000000
