year,Vernia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,5
1889,7
1890,8
1891,0
1892,5
1893,8
1894,0
1895,8
1896,6
1897,5
1898,8
1899,0
1900,0
1901,5
1902,8
1903,10
1904,15
1905,0
1906,7
1907,9
1908,9
1909,0
1910,18
1911,8
1912,11
1913,20
1914,21
1915,23
1916,29
1917,40
1918,28
1919,27
1920,32
1921,31
1922,31
1923,33
1924,34
1925,29
1926,32
1927,24
1928,25
1929,18
1930,21
1931,21
1932,17
1933,26
1934,28
1935,19
1936,22
1937,24
1938,22
1939,19
1940,20
1941,25
1942,13
1943,18
1944,22
1945,16
1946,22
1947,21
1948,15
1949,17
1950,22
1951,18
1952,14
1953,16
1954,15
1955,17
1956,18
1957,9
1958,13
1959,9
1960,13
1961,17
1962,10
1963,7
1964,5
1965,8
1966,0
1967,0
1968,5
1969,6
1970,5
1971,0
1972,5
1973,5
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
