year,Veryl
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,26
1913,29
1914,30
1915,26
1916,32
1917,27
1918,40
1919,30
1920,31
1921,38
1922,28
1923,23
1924,41
1925,37
1926,44
1927,33
1928,35
1929,29
1930,21
1931,25
1932,31
1933,31
1934,13
1935,28
1936,17
1937,25
1938,7
1939,18
1940,11
1941,10
1942,17
1943,25
1944,21
1945,10
1946,17
1947,18
1948,13
1949,13
1950,9
1951,6
1952,11
1953,5
1954,16
1955,11
1956,9
1957,16
1958,6
1959,5
1960,0
1961,6
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
