year,Vena
1880,11
1881,6
1882,13
1883,8
1884,11
1885,15
1886,8
1887,13
1888,20
1889,23
1890,17
1891,17
1892,21
1893,20
1894,29
1895,27
1896,31
1897,29
1898,39
1899,22
1900,37
1901,25
1902,36
1903,21
1904,31
1905,32
1906,20
1907,27
1908,32
1909,25
1910,28
1911,31
1912,38
1913,39
1914,49
1915,53
1916,47
1917,46
1918,57
1919,74
1920,67
1921,53
1922,63
1923,60
1924,71
1925,49
1926,49
1927,40
1928,40
1929,31
1930,37
1931,41
1932,21
1933,37
1934,26
1935,20
1936,15
1937,16
1938,25
1939,21
1940,15
1941,24
1942,18
1943,20
1944,22
1945,17
1946,24
1947,10
1948,10
1949,17
1950,18
1951,17
1952,12
1953,11
1954,20
1955,22
1956,18
1957,23
1958,14
1959,25
1960,25
1961,19
1962,24
1963,19
1964,18
1965,19
1966,30
1967,18
1968,19
1969,22
1970,18
1971,16
1972,16
1973,19
1974,18
1975,9
1976,12
1977,13
1978,12
1979,8
1980,10
1981,8
1982,15
1983,11
1984,9
1985,6
1986,6
1987,6
1988,7
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,6
1997,7
1998,0
1999,11
2000,5
2001,0
2002,6
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
