year,Vaughan
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,6
1912,12
1913,6
1914,14
1915,11
1916,18
1917,19
1918,24
1919,7
1920,18
1921,17
1922,13
1923,17
1924,12
1925,12
1926,10
1927,18
1928,13
1929,6
1930,13
1931,11
1932,11
1933,0
1934,15
1935,9
1936,6
1937,13
1938,9
1939,13
1940,10
1941,8
1942,11
1943,17
1944,15
1945,18
1946,10
1947,25
1948,26
1949,24
1950,22
1951,19
1952,18
1953,16
1954,20
1955,17
1956,16
1957,8
1958,14
1959,8
1960,10
1961,15
1962,16
1963,12
1964,10
1965,16
1966,16
1967,13
1968,18
1969,18
1970,17
1971,10
1972,9
1973,16
1974,7
1975,9
1976,10
1977,13
1978,6
1979,11
1980,14
1981,12
1982,9
1983,10
1984,10
1985,5
1986,12
1987,7
1988,12
1989,7
1990,12
1991,20
1992,21
1993,11
1994,20
1995,19
1996,16
1997,22
1998,21
1999,14
2000,23
2001,20
2002,15
2003,13
2004,11
2005,17
2006,34
2007,26
2008,16
2009,16
2010,30
2011,24
2012,18
