year,Vela
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,0
1890,5
1891,0
1892,0
1893,5
1894,5
1895,5
1896,5
1897,8
1898,10
1899,5
1900,11
1901,8
1902,8
1903,8
1904,11
1905,16
1906,7
1907,12
1908,13
1909,14
1910,13
1911,13
1912,15
1913,16
1914,25
1915,38
1916,20
1917,17
1918,21
1919,27
1920,22
1921,15
1922,18
1923,25
1924,21
1925,18
1926,15
1927,19
1928,18
1929,9
1930,15
1931,14
1932,8
1933,12
1934,14
1935,8
1936,10
1937,7
1938,7
1939,9
1940,6
1941,6
1942,8
1943,6
1944,0
1945,6
1946,6
1947,9
1948,0
1949,6
1950,7
1951,9
1952,0
1953,0
1954,12
1955,0
1956,0
1957,6
1958,0
1959,6
1960,6
1961,7
1962,0
1963,6
1964,8
1965,0
1966,0
1967,5
1968,0
1969,0
1970,5
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,7
2008,0
2009,5
2010,15
2011,12
2012,10
