year,Vesta
1880,20
1881,20
1882,21
1883,19
1884,33
1885,27
1886,47
1887,28
1888,51
1889,54
1890,42
1891,60
1892,60
1893,52
1894,100
1895,96
1896,64
1897,92
1898,91
1899,93
1900,112
1901,84
1902,109
1903,105
1904,99
1905,103
1906,107
1907,103
1908,112
1909,97
1910,109
1911,111
1912,169
1913,122
1914,165
1915,195
1916,220
1917,218
1918,257
1919,248
1920,243
1921,202
1922,196
1923,169
1924,193
1925,156
1926,162
1927,126
1928,110
1929,116
1930,123
1931,104
1932,106
1933,102
1934,110
1935,100
1936,79
1937,69
1938,88
1939,65
1940,84
1941,72
1942,73
1943,62
1944,60
1945,59
1946,52
1947,55
1948,61
1949,50
1950,45
1951,46
1952,56
1953,47
1954,52
1955,43
1956,25
1957,28
1958,35
1959,36
1960,28
1961,24
1962,26
1963,25
1964,31
1965,21
1966,19
1967,18
1968,22
1969,10
1970,11
1971,21
1972,17
1973,9
1974,12
1975,16
1976,10
1977,7
1978,12
1979,8
1980,9
1981,5
1982,14
1983,7
1984,7
1985,5
1986,5
1987,8
1988,10
1989,13
1990,8
1991,10
1992,14
1993,11
1994,10
1995,0
1996,6
1997,7
1998,0
1999,0
2000,0
2001,6
2002,0
2003,7
2004,6
2005,6
2006,0
2007,5
2008,7
2009,7
2010,7
2011,8
2012,6
