year,Virgina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,8
1901,0
1902,0
1903,0
1904,6
1905,6
1906,6
1907,0
1908,0
1909,0
1910,8
1911,8
1912,11
1913,10
1914,14
1915,24
1916,26
1917,30
1918,24
1919,31
1920,29
1921,27
1922,38
1923,23
1924,27
1925,27
1926,24
1927,21
1928,23
1929,29
1930,25
1931,18
1932,12
1933,17
1934,16
1935,13
1936,19
1937,18
1938,9
1939,14
1940,10
1941,20
1942,15
1943,11
1944,13
1945,17
1946,12
1947,16
1948,11
1949,15
1950,12
1951,9
1952,19
1953,22
1954,20
1955,15
1956,19
1957,25
1958,19
1959,15
1960,15
1961,24
1962,26
1963,22
1964,16
1965,21
1966,13
1967,18
1968,14
1969,22
1970,16
1971,16
1972,18
1973,0
1974,13
1975,21
1976,13
1977,25
1978,19
1979,22
1980,15
1981,23
1982,11
1983,23
1984,5
1985,8
1986,14
1987,11
1988,12
1989,5
1990,8
1991,6
1992,9
1993,10
1994,7
1995,11
1996,9
1997,7
1998,6
1999,9
2000,10
2001,7
2002,13
2003,0
2004,6
2005,6
2006,9
2007,7
2008,8
2009,0
2010,0
2011,5
2012,0
