year,Vanita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,7
1914,6
1915,9
1916,11
1917,21
1918,24
1919,19
1920,27
1921,21
1922,16
1923,13
1924,20
1925,33
1926,22
1927,20
1928,17
1929,22
1930,21
1931,24
1932,33
1933,16
1934,20
1935,18
1936,19
1937,17
1938,24
1939,20
1940,16
1941,19
1942,17
1943,19
1944,18
1945,15
1946,40
1947,26
1948,30
1949,39
1950,28
1951,23
1952,28
1953,37
1954,36
1955,28
1956,42
1957,31
1958,50
1959,40
1960,52
1961,46
1962,34
1963,37
1964,45
1965,39
1966,45
1967,33
1968,24
1969,31
1970,34
1971,53
1972,28
1973,22
1974,26
1975,25
1976,32
1977,21
1978,13
1979,21
1980,17
1981,19
1982,32
1983,26
1984,19
1985,13
1986,22
1987,16
1988,14
1989,13
1990,14
1991,19
1992,10
1993,10
1994,14
1995,11
1996,6
1997,5
1998,0
1999,0
2000,7
2001,0
2002,0
2003,5
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
