year,Vira
1880,0
1881,0
1882,5
1883,5
1884,10
1885,5
1886,0
1887,0
1888,10
1889,12
1890,5
1891,11
1892,14
1893,12
1894,10
1895,10
1896,21
1897,12
1898,10
1899,15
1900,16
1901,11
1902,13
1903,15
1904,12
1905,16
1906,15
1907,9
1908,14
1909,16
1910,9
1911,14
1912,14
1913,21
1914,16
1915,26
1916,39
1917,30
1918,34
1919,22
1920,28
1921,28
1922,25
1923,21
1924,24
1925,19
1926,19
1927,18
1928,28
1929,22
1930,16
1931,14
1932,17
1933,13
1934,10
1935,12
1936,26
1937,11
1938,13
1939,12
1940,10
1941,11
1942,12
1943,6
1944,8
1945,6
1946,9
1947,12
1948,11
1949,8
1950,6
1951,7
1952,10
1953,12
1954,10
1955,8
1956,11
1957,0
1958,11
1959,13
1960,8
1961,10
1962,9
1963,8
1964,0
1965,0
1966,0
1967,10
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,6
