year,Vonetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,9
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,7
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,5
1944,0
1945,5
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,5
1954,7
1955,6
1956,7
1957,5
1958,0
1959,6
1960,8
1961,0
1962,5
1963,0
1964,0
1965,5
1966,6
1967,0
1968,9
1969,0
1970,0
1971,7
1972,32
1973,161
1974,126
1975,111
1976,61
1977,62
1978,45
1979,44
1980,29
1981,18
1982,11
1983,12
1984,10
1985,7
1986,7
1987,7
1988,5
1989,0
1990,0
1991,5
1992,0
1993,0
1994,6
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
