year,Vonna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,7
1917,6
1918,5
1919,0
1920,0
1921,10
1922,9
1923,7
1924,14
1925,10
1926,16
1927,14
1928,19
1929,15
1930,20
1931,23
1932,12
1933,21
1934,28
1935,24
1936,25
1937,25
1938,20
1939,22
1940,22
1941,21
1942,21
1943,22
1944,26
1945,18
1946,22
1947,27
1948,23
1949,25
1950,30
1951,24
1952,22
1953,30
1954,27
1955,24
1956,25
1957,29
1958,20
1959,25
1960,36
1961,29
1962,20
1963,23
1964,18
1965,15
1966,14
1967,13
1968,11
1969,10
1970,12
1971,12
1972,10
1973,7
1974,9
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,6
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
