year,Vernita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,10
1900,7
1901,0
1902,0
1903,0
1904,0
1905,0
1906,6
1907,6
1908,0
1909,9
1910,0
1911,7
1912,8
1913,11
1914,11
1915,22
1916,19
1917,34
1918,33
1919,26
1920,36
1921,32
1922,38
1923,34
1924,30
1925,38
1926,36
1927,31
1928,43
1929,45
1930,36
1931,39
1932,40
1933,42
1934,34
1935,29
1936,36
1937,37
1938,38
1939,42
1940,38
1941,27
1942,48
1943,37
1944,28
1945,31
1946,48
1947,54
1948,57
1949,65
1950,69
1951,76
1952,72
1953,86
1954,112
1955,104
1956,115
1957,97
1958,96
1959,108
1960,105
1961,122
1962,106
1963,108
1964,92
1965,85
1966,77
1967,83
1968,68
1969,68
1970,76
1971,61
1972,52
1973,40
1974,50
1975,51
1976,32
1977,42
1978,23
1979,36
1980,36
1981,34
1982,26
1983,23
1984,25
1985,27
1986,24
1987,21
1988,14
1989,16
1990,16
1991,13
1992,14
1993,14
1994,12
1995,8
1996,0
1997,0
1998,0
1999,8
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,5
2010,0
2011,0
2012,0
