year,Vittoria
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,6
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,5
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,5
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,5
1950,0
1951,0
1952,0
1953,0
1954,8
1955,5
1956,5
1957,0
1958,5
1959,0
1960,0
1961,9
1962,5
1963,8
1964,0
1965,9
1966,7
1967,13
1968,6
1969,8
1970,0
1971,10
1972,10
1973,6
1974,11
1975,6
1976,5
1977,6
1978,15
1979,5
1980,10
1981,7
1982,7
1983,13
1984,7
1985,5
1986,7
1987,16
1988,11
1989,16
1990,19
1991,24
1992,24
1993,25
1994,31
1995,34
1996,26
1997,27
1998,33
1999,32
2000,19
2001,21
2002,17
2003,30
2004,34
2005,36
2006,39
2007,32
2008,32
2009,44
2010,57
2011,37
2012,54
