year,Violetta
1880,0
1881,0
1882,0
1883,0
1884,8
1885,0
1886,0
1887,0
1888,6
1889,7
1890,5
1891,7
1892,9
1893,0
1894,6
1895,5
1896,0
1897,5
1898,0
1899,7
1900,12
1901,5
1902,9
1903,5
1904,6
1905,8
1906,9
1907,12
1908,7
1909,11
1910,8
1911,8
1912,16
1913,18
1914,20
1915,22
1916,29
1917,27
1918,29
1919,25
1920,23
1921,21
1922,19
1923,27
1924,22
1925,21
1926,27
1927,20
1928,18
1929,13
1930,21
1931,17
1932,18
1933,23
1934,15
1935,12
1936,10
1937,12
1938,9
1939,9
1940,15
1941,5
1942,8
1943,12
1944,20
1945,7
1946,8
1947,10
1948,13
1949,13
1950,12
1951,13
1952,16
1953,8
1954,15
1955,11
1956,14
1957,15
1958,9
1959,9
1960,12
1961,11
1962,13
1963,9
1964,9
1965,6
1966,8
1967,8
1968,8
1969,9
1970,8
1971,7
1972,10
1973,10
1974,13
1975,11
1976,9
1977,9
1978,5
1979,9
1980,12
1981,5
1982,11
1983,8
1984,9
1985,12
1986,14
1987,10
1988,10
1989,11
1990,14
1991,8
1992,14
1993,7
1994,10
1995,11
1996,10
1997,7
1998,11
1999,21
2000,14
2001,13
2002,22
2003,15
2004,14
2005,22
2006,30
2007,19
2008,24
2009,29
2010,27
2011,46
2012,57
