year,Viva
1880,7
1881,0
1882,9
1883,10
1884,20
1885,14
1886,14
1887,12
1888,9
1889,12
1890,16
1891,23
1892,19
1893,22
1894,40
1895,36
1896,34
1897,36
1898,37
1899,38
1900,35
1901,28
1902,34
1903,30
1904,43
1905,39
1906,38
1907,40
1908,36
1909,30
1910,35
1911,46
1912,53
1913,69
1914,65
1915,81
1916,96
1917,96
1918,89
1919,92
1920,76
1921,103
1922,77
1923,85
1924,74
1925,70
1926,66
1927,64
1928,64
1929,43
1930,62
1931,45
1932,41
1933,45
1934,46
1935,31
1936,41
1937,42
1938,27
1939,41
1940,40
1941,39
1942,28
1943,24
1944,17
1945,27
1946,21
1947,25
1948,24
1949,18
1950,17
1951,17
1952,9
1953,16
1954,16
1955,27
1956,23
1957,9
1958,10
1959,11
1960,19
1961,11
1962,13
1963,10
1964,15
1965,7
1966,11
1967,16
1968,26
1969,17
1970,23
1971,22
1972,18
1973,16
1974,16
1975,10
1976,8
1977,9
1978,9
1979,8
1980,0
1981,10
1982,5
1983,10
1984,5
1985,0
1986,5
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,5
2003,5
2004,6
2005,0
2006,0
2007,5
2008,9
2009,9
2010,6
2011,7
2012,10
