year,Vilma
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,5
1903,0
1904,7
1905,5
1906,10
1907,10
1908,9
1909,13
1910,10
1911,23
1912,32
1913,30
1914,39
1915,43
1916,45
1917,52
1918,46
1919,40
1920,35
1921,47
1922,37
1923,41
1924,33
1925,54
1926,117
1927,213
1928,177
1929,198
1930,147
1931,120
1932,84
1933,67
1934,63
1935,50
1936,52
1937,32
1938,37
1939,35
1940,26
1941,25
1942,25
1943,30
1944,20
1945,18
1946,26
1947,30
1948,23
1949,28
1950,33
1951,34
1952,34
1953,29
1954,29
1955,30
1956,38
1957,49
1958,60
1959,117
1960,95
1961,77
1962,92
1963,73
1964,81
1965,53
1966,57
1967,38
1968,44
1969,57
1970,38
1971,38
1972,43
1973,26
1974,36
1975,43
1976,25
1977,22
1978,23
1979,27
1980,26
1981,28
1982,27
1983,38
1984,24
1985,29
1986,36
1987,44
1988,42
1989,50
1990,48
1991,54
1992,39
1993,39
1994,36
1995,34
1996,33
1997,24
1998,26
1999,26
2000,31
2001,15
2002,27
2003,22
2004,20
2005,25
2006,33
2007,24
2008,29
2009,28
2010,14
2011,13
2012,17
