year,Veronika
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,5
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,10
1953,6
1954,0
1955,7
1956,6
1957,6
1958,13
1959,8
1960,7
1961,20
1962,10
1963,16
1964,13
1965,16
1966,9
1967,9
1968,12
1969,0
1970,14
1971,17
1972,12
1973,19
1974,17
1975,10
1976,10
1977,23
1978,27
1979,11
1980,19
1981,26
1982,28
1983,25
1984,28
1985,23
1986,36
1987,37
1988,42
1989,51
1990,45
1991,52
1992,49
1993,66
1994,57
1995,69
1996,82
1997,97
1998,71
1999,81
2000,86
2001,98
2002,86
2003,99
2004,91
2005,98
2006,106
2007,118
2008,95
2009,92
2010,106
2011,91
2012,100
