year,Verna (F),Verna (M)
1880,0.000228,0.000000
1881,0.000156,0.000000
1882,0.000343,0.000000
1883,0.000475,0.000023
1884,0.000357,0.000000
1885,0.000448,0.000000
1886,0.000525,0.000000
1887,0.000521,0.000000
1888,0.000551,0.000000
1889,0.000602,0.000000
1890,0.000810,0.000000
1891,0.000708,0.000000
1892,0.000736,0.000000
1893,0.000898,0.000000
1894,0.000915,0.000000
1895,0.000929,0.000000
1896,0.000912,0.000000
1897,0.001009,0.000000
1898,0.001075,0.000000
1899,0.000970,0.000000
1900,0.000915,0.000000
1901,0.001044,0.000017
1902,0.001127,0.000021
1903,0.001112,0.000000
1904,0.001063,0.000012
1905,0.001151,0.000014
1906,0.001244,0.000000
1907,0.001156,0.000000
1908,0.001123,0.000000
1909,0.001138,0.000012
1910,0.001060,0.000000
1911,0.000992,0.000011
1912,0.000925,0.000000
1913,0.000913,0.000007
1914,0.000866,0.000006
1915,0.000857,0.000008
1916,0.000886,0.000008
1917,0.000896,0.000002
1918,0.000863,0.000006
1919,0.000860,0.000009
1920,0.000818,0.000007
1921,0.000777,0.000008
1922,0.000740,0.000009
1923,0.000744,0.000005
1924,0.000697,0.000005
1925,0.000691,0.000006
1926,0.000691,0.000009
1927,0.000662,0.000007
1928,0.000645,0.000006
1929,0.000612,0.000005
1930,0.000611,0.000005
1931,0.000576,0.000007
1932,0.000557,0.000007
1933,0.000539,0.000006
1934,0.000501,0.000005
1935,0.000470,0.000003
1936,0.000457,0.000004
1937,0.000438,0.000007
1938,0.000420,0.000004
1939,0.000420,0.000000
1940,0.000376,0.000004
1941,0.000354,0.000000
1942,0.000320,0.000002
1943,0.000312,0.000003
1944,0.000273,0.000002
1945,0.000271,0.000003
1946,0.000233,0.000000
1947,0.000215,0.000001
1948,0.000197,0.000001
1949,0.000212,0.000003
1950,0.000206,0.000002
1951,0.000181,0.000003
1952,0.000171,0.000000
1953,0.000170,0.000001
1954,0.000147,0.000000
1955,0.000154,0.000002
1956,0.000147,0.000001
1957,0.000144,0.000002
1958,0.000132,0.000000
1959,0.000123,0.000001
1960,0.000129,0.000000
1961,0.000112,0.000001
1962,0.000101,0.000001
1963,0.000091,0.000002
1964,0.000091,0.000002
1965,0.000076,0.000000
1966,0.000082,0.000000
1967,0.000081,0.000000
1968,0.000055,0.000001
1969,0.000061,0.000000
1970,0.000054,0.000002
1971,0.000052,0.000000
1972,0.000047,0.000000
1973,0.000039,0.000000
1974,0.000035,0.000000
1975,0.000034,0.000000
1976,0.000032,0.000000
1977,0.000024,0.000000
1978,0.000023,0.000002
1979,0.000020,0.000000
1980,0.000016,0.000000
1981,0.000023,0.000000
1982,0.000023,0.000000
1983,0.000020,0.000000
1984,0.000013,0.000000
1985,0.000012,0.000000
1986,0.000012,0.000000
1987,0.000011,0.000000
1988,0.000011,0.000000
1989,0.000011,0.000000
1990,0.000008,0.000000
1991,0.000010,0.000000
1992,0.000008,0.000000
1993,0.000011,0.000000
1994,0.000012,0.000000
1995,0.000007,0.000000
1996,0.000005,0.000000
1997,0.000005,0.000000
1998,0.000009,0.000000
1999,0.000007,0.000000
2000,0.000006,0.000000
2001,0.000007,0.000000
2002,0.000006,0.000000
2003,0.000007,0.000000
2004,0.000007,0.000000
2005,0.000006,0.000000
2006,0.000006,0.000000
2007,0.000006,0.000000
2008,0.000009,0.000000
2009,0.000004,0.000000
2010,0.000005,0.000000
2011,0.000007,0.000000
2012,0.000007,0.000000
2013,0.000008,0.000000
