year,Verla
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,8
1891,0
1892,0
1893,0
1894,13
1895,22
1896,12
1897,11
1898,14
1899,12
1900,22
1901,19
1902,20
1903,15
1904,17
1905,25
1906,18
1907,20
1908,25
1909,43
1910,53
1911,39
1912,54
1913,74
1914,101
1915,143
1916,142
1917,129
1918,161
1919,179
1920,174
1921,193
1922,198
1923,148
1924,162
1925,173
1926,194
1927,195
1928,165
1929,176
1930,160
1931,169
1932,160
1933,165
1934,156
1935,149
1936,127
1937,132
1938,134
1939,93
1940,114
1941,119
1942,108
1943,77
1944,70
1945,71
1946,88
1947,63
1948,76
1949,74
1950,66
1951,57
1952,55
1953,52
1954,57
1955,38
1956,42
1957,34
1958,34
1959,30
1960,27
1961,29
1962,23
1963,27
1964,15
1965,19
1966,9
1967,10
1968,11
1969,5
1970,9
1971,12
1972,12
1973,11
1974,5
1975,0
1976,5
1977,0
1978,7
1979,0
1980,0
1981,5
1982,0
1983,9
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
