year,Vito (F),Vito (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000013
1899,0.000000,0.000000
1900,0.000000,0.000013
1901,0.000000,0.000020
1902,0.000000,0.000041
1903,0.000000,0.000000
1904,0.000000,0.000027
1905,0.000000,0.000024
1906,0.000000,0.000026
1907,0.000000,0.000028
1908,0.000000,0.000029
1909,0.000000,0.000055
1910,0.000000,0.000036
1911,0.000000,0.000090
1912,0.000000,0.000095
1913,0.000000,0.000107
1914,0.000000,0.000107
1915,0.000000,0.000108
1916,0.000000,0.000115
1917,0.000000,0.000123
1918,0.000000,0.000126
1919,0.000000,0.000100
1920,0.000000,0.000122
1921,0.000000,0.000130
1922,0.000000,0.000130
1923,0.000000,0.000118
1924,0.000000,0.000121
1925,0.000000,0.000135
1926,0.000000,0.000132
1927,0.000000,0.000119
1928,0.000000,0.000103
1929,0.000000,0.000115
1930,0.000000,0.000091
1931,0.000000,0.000100
1932,0.000000,0.000079
1933,0.000000,0.000073
1934,0.000000,0.000067
1935,0.000000,0.000068
1936,0.000000,0.000068
1937,0.000000,0.000063
1938,0.000000,0.000050
1939,0.000000,0.000062
1940,0.000000,0.000048
1941,0.000000,0.000056
1942,0.000000,0.000048
1943,0.000000,0.000042
1944,0.000000,0.000035
1945,0.000000,0.000035
1946,0.000000,0.000033
1947,0.000000,0.000039
1948,0.000000,0.000043
1949,0.000000,0.000036
1950,0.000000,0.000033
1951,0.000000,0.000034
1952,0.000000,0.000036
1953,0.000000,0.000041
1954,0.000000,0.000036
1955,0.000000,0.000036
1956,0.000000,0.000034
1957,0.000000,0.000033
1958,0.000000,0.000036
1959,0.000000,0.000032
1960,0.000000,0.000038
1961,0.000000,0.000036
1962,0.000000,0.000040
1963,0.000000,0.000039
1964,0.000000,0.000041
1965,0.000000,0.000033
1966,0.000000,0.000036
1967,0.000000,0.000034
1968,0.000000,0.000035
1969,0.000000,0.000038
1970,0.000000,0.000033
1971,0.000000,0.000039
1972,0.000000,0.000039
1973,0.000000,0.000040
1974,0.000000,0.000035
1975,0.000000,0.000039
1976,0.000000,0.000036
1977,0.000000,0.000028
1978,0.000000,0.000032
1979,0.000000,0.000036
1980,0.000000,0.000032
1981,0.000000,0.000033
1982,0.000000,0.000029
1983,0.000000,0.000027
1984,0.000000,0.000022
1985,0.000000,0.000026
1986,0.000000,0.000024
1987,0.000000,0.000023
1988,0.000000,0.000025
1989,0.000000,0.000024
1990,0.000000,0.000015
1991,0.000000,0.000023
1992,0.000000,0.000023
1993,0.000000,0.000023
1994,0.000000,0.000016
1995,0.000000,0.000019
1996,0.000000,0.000016
1997,0.000000,0.000022
1998,0.000000,0.000018
1999,0.000000,0.000017
2000,0.000000,0.000018
2001,0.000000,0.000020
2002,0.000000,0.000021
2003,0.000000,0.000020
2004,0.000000,0.000023
2005,0.000000,0.000018
2006,0.000000,0.000017
2007,0.000000,0.000018
2008,0.000000,0.000021
2009,0.000000,0.000016
2010,0.000000,0.000018
2011,0.000000,0.000021
2012,0.000000,0.000021
