year,Velia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,6
1905,0
1906,0
1907,7
1908,0
1909,7
1910,11
1911,10
1912,0
1913,11
1914,21
1915,17
1916,23
1917,22
1918,20
1919,23
1920,25
1921,36
1922,38
1923,28
1924,45
1925,33
1926,40
1927,58
1928,44
1929,72
1930,63
1931,48
1932,41
1933,40
1934,47
1935,33
1936,41
1937,47
1938,47
1939,40
1940,35
1941,28
1942,29
1943,37
1944,39
1945,18
1946,41
1947,56
1948,44
1949,43
1950,47
1951,48
1952,36
1953,37
1954,46
1955,49
1956,40
1957,32
1958,30
1959,21
1960,27
1961,25
1962,22
1963,22
1964,23
1965,18
1966,27
1967,19
1968,29
1969,29
1970,22
1971,42
1972,29
1973,27
1974,32
1975,29
1976,30
1977,25
1978,23
1979,20
1980,20
1981,22
1982,22
1983,14
1984,20
1985,18
1986,11
1987,17
1988,10
1989,11
1990,31
1991,16
1992,9
1993,10
1994,16
1995,16
1996,16
1997,9
1998,10
1999,9
2000,12
2001,9
2002,6
2003,13
2004,8
2005,15
2006,5
2007,12
2008,0
2009,0
2010,11
2011,11
2012,8
