year,Valentino (F),Valentino (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000008
1911,0.000000,0.000009
1912,0.000000,0.000005
1913,0.000000,0.000007
1914,0.000000,0.000009
1915,0.000000,0.000008
1916,0.000000,0.000011
1917,0.000000,0.000009
1918,0.000000,0.000006
1919,0.000000,0.000005
1920,0.000000,0.000013
1921,0.000000,0.000012
1922,0.000000,0.000012
1923,0.000000,0.000014
1924,0.000000,0.000013
1925,0.000000,0.000018
1926,0.000000,0.000021
1927,0.000000,0.000039
1928,0.000000,0.000022
1929,0.000000,0.000014
1930,0.000000,0.000020
1931,0.000000,0.000014
1932,0.000000,0.000012
1933,0.000000,0.000013
1934,0.000000,0.000009
1935,0.000000,0.000012
1936,0.000000,0.000008
1937,0.000000,0.000008
1938,0.000000,0.000007
1939,0.000000,0.000007
1940,0.000000,0.000006
1941,0.000000,0.000003
1942,0.000000,0.000005
1943,0.000000,0.000007
1944,0.000000,0.000006
1945,0.000000,0.000006
1946,0.000000,0.000007
1947,0.000000,0.000005
1948,0.000000,0.000008
1949,0.000000,0.000007
1950,0.000000,0.000007
1951,0.000000,0.000008
1952,0.000000,0.000010
1953,0.000000,0.000011
1954,0.000000,0.000006
1955,0.000000,0.000009
1956,0.000000,0.000007
1957,0.000000,0.000007
1958,0.000000,0.000008
1959,0.000000,0.000003
1960,0.000000,0.000010
1961,0.000000,0.000011
1962,0.000000,0.000010
1963,0.000000,0.000007
1964,0.000000,0.000012
1965,0.000000,0.000007
1966,0.000000,0.000008
1967,0.000000,0.000010
1968,0.000000,0.000010
1969,0.000000,0.000009
1970,0.000000,0.000009
1971,0.000000,0.000011
1972,0.000000,0.000010
1973,0.000000,0.000012
1974,0.000000,0.000011
1975,0.000000,0.000013
1976,0.000000,0.000015
1977,0.000000,0.000016
1978,0.000000,0.000014
1979,0.000000,0.000009
1980,0.000000,0.000015
1981,0.000000,0.000014
1982,0.000000,0.000017
1983,0.000000,0.000016
1984,0.000000,0.000016
1985,0.000000,0.000018
1986,0.000000,0.000015
1987,0.000000,0.000016
1988,0.000000,0.000016
1989,0.000000,0.000017
1990,0.000000,0.000018
1991,0.000000,0.000019
1992,0.000000,0.000020
1993,0.000000,0.000021
1994,0.000000,0.000018
1995,0.000000,0.000017
1996,0.000000,0.000019
1997,0.000000,0.000023
1998,0.000000,0.000023
1999,0.000000,0.000027
2000,0.000000,0.000023
2001,0.000000,0.000026
2002,0.000000,0.000029
2003,0.000000,0.000023
2004,0.000000,0.000031
2005,0.000000,0.000034
2006,0.000000,0.000049
2007,0.000000,0.000044
2008,0.000000,0.000058
2009,0.000000,0.000078
2010,0.000000,0.000070
2011,0.000000,0.000080
2012,0.000000,0.000075
