year,Vivien
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,0
1890,6
1891,0
1892,5
1893,8
1894,18
1895,12
1896,9
1897,8
1898,12
1899,8
1900,15
1901,12
1902,7
1903,6
1904,10
1905,12
1906,10
1907,21
1908,10
1909,8
1910,26
1911,66
1912,74
1913,43
1914,40
1915,53
1916,47
1917,48
1918,59
1919,57
1920,60
1921,58
1922,72
1923,85
1924,119
1925,89
1926,81
1927,87
1928,80
1929,58
1930,57
1931,33
1932,34
1933,31
1934,30
1935,30
1936,28
1937,28
1938,21
1939,52
1940,148
1941,93
1942,60
1943,50
1944,46
1945,48
1946,57
1947,50
1948,50
1949,33
1950,40
1951,47
1952,47
1953,35
1954,32
1955,25
1956,22
1957,38
1958,30
1959,25
1960,34
1961,31
1962,24
1963,20
1964,22
1965,11
1966,14
1967,22
1968,9
1969,12
1970,12
1971,10
1972,10
1973,8
1974,10
1975,15
1976,8
1977,15
1978,8
1979,20
1980,9
1981,11
1982,16
1983,7
1984,10
1985,9
1986,9
1987,18
1988,12
1989,12
1990,23
1991,33
1992,26
1993,35
1994,33
1995,31
1996,49
1997,37
1998,42
1999,46
2000,60
2001,57
2002,65
2003,95
2004,91
2005,100
2006,113
2007,104
2008,100
2009,151
2010,209
2011,175
2012,190
