year,Vicente (F),Vicente (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000032
1883,0.000000,0.000028
1884,0.000000,0.000025
1885,0.000000,0.000021
1886,0.000000,0.000000
1887,0.000000,0.000032
1888,0.000000,0.000027
1889,0.000000,0.000000
1890,0.000000,0.000017
1891,0.000000,0.000024
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000021
1895,0.000000,0.000023
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000018
1899,0.000000,0.000000
1900,0.000000,0.000013
1901,0.000000,0.000020
1902,0.000000,0.000023
1903,0.000000,0.000018
1904,0.000000,0.000000
1905,0.000000,0.000019
1906,0.000000,0.000012
1907,0.000000,0.000011
1908,0.000000,0.000027
1909,0.000000,0.000027
1910,0.000000,0.000029
1911,0.000000,0.000028
1912,0.000000,0.000021
1913,0.000000,0.000027
1914,0.000000,0.000021
1915,0.000000,0.000017
1916,0.000000,0.000019
1917,0.000000,0.000020
1918,0.000000,0.000021
1919,0.000000,0.000022
1920,0.000000,0.000028
1921,0.000000,0.000032
1922,0.000000,0.000025
1923,0.000000,0.000032
1924,0.000000,0.000039
1925,0.000000,0.000036
1926,0.000000,0.000034
1927,0.000000,0.000042
1928,0.000000,0.000051
1929,0.000000,0.000045
1930,0.000000,0.000041
1931,0.000000,0.000037
1932,0.000000,0.000036
1933,0.000000,0.000036
1934,0.000000,0.000033
1935,0.000000,0.000035
1936,0.000000,0.000024
1937,0.000000,0.000037
1938,0.000000,0.000032
1939,0.000000,0.000030
1940,0.000000,0.000034
1941,0.000000,0.000023
1942,0.000000,0.000020
1943,0.000000,0.000023
1944,0.000000,0.000026
1945,0.000000,0.000029
1946,0.000000,0.000023
1947,0.000000,0.000023
1948,0.000000,0.000025
1949,0.000000,0.000024
1950,0.000000,0.000023
1951,0.000000,0.000020
1952,0.000000,0.000020
1953,0.000000,0.000023
1954,0.000000,0.000021
1955,0.000000,0.000021
1956,0.000000,0.000025
1957,0.000000,0.000020
1958,0.000000,0.000021
1959,0.000000,0.000022
1960,0.000000,0.000022
1961,0.000000,0.000023
1962,0.000000,0.000026
1963,0.000000,0.000028
1964,0.000000,0.000024
1965,0.000000,0.000027
1966,0.000000,0.000031
1967,0.000000,0.000030
1968,0.000000,0.000036
1969,0.000000,0.000041
1970,0.000000,0.000034
1971,0.000000,0.000045
1972,0.000000,0.000050
1973,0.000000,0.000053
1974,0.000000,0.000056
1975,0.000000,0.000070
1976,0.000000,0.000075
1977,0.000000,0.000065
1978,0.000000,0.000066
1979,0.000000,0.000064
1980,0.000000,0.000069
1981,0.000000,0.000072
1982,0.000000,0.000070
1983,0.000000,0.000071
1984,0.000000,0.000076
1985,0.000000,0.000063
1986,0.000000,0.000060
1987,0.000000,0.000064
1988,0.000000,0.000066
1989,0.000000,0.000077
1990,0.000000,0.000074
1991,0.000000,0.000079
1992,0.000000,0.000082
1993,0.000000,0.000097
1994,0.000000,0.000101
1995,0.000000,0.000089
1996,0.000000,0.000086
1997,0.000000,0.000101
1998,0.000000,0.000095
1999,0.000000,0.000092
2000,0.000000,0.000099
2001,0.000000,0.000103
2002,0.000000,0.000107
2003,0.000000,0.000096
2004,0.000000,0.000106
2005,0.000000,0.000109
2006,0.000000,0.000102
2007,0.000000,0.000105
2008,0.000000,0.000100
2009,0.000000,0.000093
2010,0.000000,0.000089
2011,0.000000,0.000091
2012,0.000000,0.000091
2013,0.000000,0.000088
