year,Veronique
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,5
1953,0
1954,0
1955,10
1956,10
1957,13
1958,11
1959,10
1960,12
1961,16
1962,18
1963,21
1964,23
1965,17
1966,31
1967,22
1968,19
1969,22
1970,29
1971,23
1972,65
1973,30
1974,25
1975,20
1976,24
1977,16
1978,24
1979,31
1980,23
1981,30
1982,34
1983,39
1984,36
1985,30
1986,38
1987,32
1988,35
1989,38
1990,26
1991,33
1992,33
1993,26
1994,27
1995,26
1996,27
1997,31
1998,34
1999,29
2000,19
2001,21
2002,17
2003,17
2004,22
2005,18
2006,13
2007,14
2008,7
2009,13
2010,14
2011,12
2012,13
