year,Verta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,6
1889,0
1890,5
1891,0
1892,8
1893,0
1894,9
1895,7
1896,8
1897,0
1898,0
1899,5
1900,0
1901,7
1902,13
1903,9
1904,6
1905,11
1906,7
1907,10
1908,0
1909,13
1910,8
1911,9
1912,16
1913,19
1914,24
1915,22
1916,31
1917,30
1918,24
1919,27
1920,20
1921,26
1922,33
1923,27
1924,33
1925,26
1926,19
1927,30
1928,24
1929,23
1930,24
1931,25
1932,32
1933,20
1934,22
1935,24
1936,21
1937,28
1938,18
1939,19
1940,10
1941,14
1942,11
1943,14
1944,10
1945,18
1946,7
1947,12
1948,21
1949,18
1950,11
1951,16
1952,7
1953,10
1954,10
1955,7
1956,5
1957,0
1958,8
1959,9
1960,9
1961,6
1962,5
1963,7
1964,8
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,6
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
