year,Virgia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,6
1886,0
1887,0
1888,6
1889,7
1890,7
1891,7
1892,7
1893,5
1894,0
1895,13
1896,12
1897,9
1898,9
1899,0
1900,9
1901,8
1902,14
1903,9
1904,5
1905,14
1906,5
1907,11
1908,10
1909,12
1910,17
1911,15
1912,19
1913,25
1914,25
1915,29
1916,22
1917,28
1918,31
1919,42
1920,36
1921,26
1922,35
1923,32
1924,37
1925,34
1926,35
1927,27
1928,38
1929,28
1930,30
1931,25
1932,25
1933,23
1934,24
1935,14
1936,27
1937,16
1938,22
1939,20
1940,15
1941,23
1942,12
1943,13
1944,12
1945,23
1946,11
1947,12
1948,6
1949,7
1950,12
1951,5
1952,13
1953,14
1954,6
1955,10
1956,0
1957,0
1958,6
1959,0
1960,0
1961,9
1962,0
1963,0
1964,0
1965,0
1966,0
1967,7
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
