year,Vassie
1880,0
1881,0
1882,0
1883,0
1884,7
1885,0
1886,0
1887,5
1888,10
1889,7
1890,10
1891,10
1892,13
1893,10
1894,0
1895,12
1896,17
1897,10
1898,12
1899,8
1900,16
1901,14
1902,18
1903,9
1904,16
1905,19
1906,20
1907,13
1908,17
1909,16
1910,18
1911,11
1912,15
1913,5
1914,17
1915,25
1916,18
1917,23
1918,11
1919,25
1920,19
1921,20
1922,13
1923,11
1924,23
1925,15
1926,15
1927,16
1928,17
1929,11
1930,6
1931,8
1932,16
1933,11
1934,8
1935,10
1936,8
1937,7
1938,5
1939,0
1940,9
1941,8
1942,7
1943,11
1944,0
1945,6
1946,0
1947,0
1948,7
1949,0
1950,7
1951,6
1952,0
1953,7
1954,7
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,5
1962,0
1963,0
1964,0
1965,0
1966,0
1967,5
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
