year,Venise
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,8
1953,9
1954,9
1955,11
1956,8
1957,20
1958,16
1959,13
1960,21
1961,13
1962,8
1963,15
1964,15
1965,10
1966,11
1967,7
1968,9
1969,15
1970,9
1971,15
1972,12
1973,10
1974,11
1975,0
1976,8
1977,5
1978,0
1979,5
1980,13
1981,0
1982,8
1983,5
1984,8
1985,10
1986,8
1987,14
1988,7
1989,8
1990,0
1991,6
1992,0
1993,6
1994,10
1995,5
1996,8
1997,0
1998,6
1999,0
2000,7
2001,6
2002,5
2003,0
2004,0
2005,6
2006,0
2007,6
2008,0
2009,0
2010,0
2011,0
2012,0
