year,Valda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,5
1900,0
1901,8
1902,0
1903,9
1904,0
1905,9
1906,7
1907,6
1908,13
1909,9
1910,17
1911,16
1912,16
1913,16
1914,26
1915,28
1916,42
1917,30
1918,31
1919,39
1920,38
1921,30
1922,29
1923,43
1924,34
1925,45
1926,31
1927,43
1928,31
1929,41
1930,41
1931,33
1932,29
1933,31
1934,31
1935,27
1936,22
1937,25
1938,16
1939,19
1940,28
1941,16
1942,23
1943,18
1944,10
1945,12
1946,27
1947,24
1948,30
1949,34
1950,24
1951,32
1952,36
1953,45
1954,38
1955,38
1956,34
1957,62
1958,52
1959,41
1960,30
1961,36
1962,24
1963,28
1964,16
1965,24
1966,21
1967,16
1968,15
1969,14
1970,7
1971,0
1972,8
1973,0
1974,5
1975,7
1976,6
1977,0
1978,0
1979,8
1980,0
1981,0
1982,6
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
