year,Venie
1880,6
1881,0
1882,0
1883,8
1884,10
1885,0
1886,0
1887,0
1888,6
1889,8
1890,5
1891,0
1892,7
1893,6
1894,9
1895,10
1896,0
1897,7
1898,10
1899,9
1900,12
1901,6
1902,6
1903,7
1904,9
1905,9
1906,0
1907,5
1908,0
1909,6
1910,5
1911,6
1912,13
1913,0
1914,9
1915,10
1916,16
1917,7
1918,13
1919,7
1920,7
1921,12
1922,8
1923,7
1924,5
1925,11
1926,5
1927,7
1928,0
1929,5
1930,6
1931,0
1932,0
1933,0
1934,5
1935,5
1936,0
1937,0
1938,0
1939,0
1940,0
1941,6
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,5
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
