year,Valera
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,6
1898,5
1899,0
1900,5
1901,0
1902,5
1903,9
1904,0
1905,0
1906,0
1907,10
1908,11
1909,9
1910,16
1911,12
1912,15
1913,17
1914,18
1915,35
1916,36
1917,36
1918,37
1919,38
1920,36
1921,36
1922,28
1923,37
1924,23
1925,17
1926,23
1927,25
1928,19
1929,20
1930,17
1931,19
1932,26
1933,13
1934,20
1935,17
1936,12
1937,9
1938,20
1939,15
1940,11
1941,17
1942,12
1943,14
1944,10
1945,15
1946,10
1947,10
1948,11
1949,13
1950,13
1951,9
1952,8
1953,11
1954,7
1955,9
1956,9
1957,15
1958,8
1959,7
1960,8
1961,8
1962,12
1963,0
1964,10
1965,0
1966,13
1967,6
1968,0
1969,6
1970,0
1971,0
1972,0
1973,0
1974,8
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
