year,Vanetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,0
1913,0
1914,0
1915,5
1916,0
1917,8
1918,8
1919,11
1920,8
1921,13
1922,14
1923,12
1924,11
1925,9
1926,11
1927,11
1928,8
1929,0
1930,6
1931,9
1932,0
1933,15
1934,9
1935,11
1936,8
1937,14
1938,9
1939,10
1940,9
1941,8
1942,9
1943,9
1944,6
1945,8
1946,10
1947,20
1948,11
1949,10
1950,10
1951,16
1952,23
1953,29
1954,18
1955,21
1956,29
1957,26
1958,25
1959,26
1960,20
1961,32
1962,39
1963,32
1964,24
1965,32
1966,18
1967,22
1968,13
1969,16
1970,23
1971,27
1972,26
1973,34
1974,36
1975,28
1976,21
1977,18
1978,27
1979,20
1980,19
1981,16
1982,24
1983,9
1984,15
1985,0
1986,15
1987,15
1988,13
1989,6
1990,11
1991,8
1992,12
1993,0
1994,0
1995,0
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
