year,Valdemar
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,7
1914,0
1915,0
1916,5
1917,0
1918,0
1919,0
1920,0
1921,8
1922,0
1923,7
1924,6
1925,13
1926,9
1927,11
1928,5
1929,7
1930,13
1931,12
1932,12
1933,6
1934,7
1935,10
1936,9
1937,6
1938,9
1939,10
1940,8
1941,9
1942,0
1943,11
1944,8
1945,6
1946,9
1947,9
1948,15
1949,6
1950,8
1951,9
1952,0
1953,17
1954,0
1955,11
1956,9
1957,8
1958,12
1959,7
1960,13
1961,12
1962,0
1963,8
1964,12
1965,11
1966,11
1967,6
1968,11
1969,11
1970,8
1971,11
1972,10
1973,9
1974,6
1975,12
1976,12
1977,13
1978,10
1979,9
1980,16
1981,8
1982,12
1983,6
1984,12
1985,7
1986,11
1987,8
1988,8
1989,6
1990,14
1991,12
1992,10
1993,9
1994,20
1995,17
1996,13
1997,10
1998,8
1999,9
2000,13
2001,16
2002,24
2003,8
2004,6
2005,10
2006,16
2007,13
2008,8
2009,8
2010,11
2011,6
2012,5
