year,Veta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,6
1890,8
1891,6
1892,7
1893,8
1894,9
1895,7
1896,10
1897,5
1898,11
1899,15
1900,10
1901,11
1902,13
1903,9
1904,8
1905,15
1906,12
1907,11
1908,25
1909,17
1910,10
1911,16
1912,27
1913,20
1914,39
1915,50
1916,58
1917,38
1918,46
1919,39
1920,35
1921,49
1922,48
1923,41
1924,57
1925,38
1926,32
1927,50
1928,31
1929,27
1930,25
1931,36
1932,22
1933,40
1934,27
1935,26
1936,23
1937,27
1938,22
1939,31
1940,21
1941,19
1942,21
1943,18
1944,20
1945,14
1946,30
1947,23
1948,24
1949,34
1950,31
1951,30
1952,34
1953,20
1954,30
1955,27
1956,23
1957,24
1958,28
1959,30
1960,23
1961,25
1962,24
1963,22
1964,17
1965,15
1966,16
1967,7
1968,13
1969,14
1970,7
1971,11
1972,7
1973,13
1974,7
1975,0
1976,8
1977,5
1978,0
1979,0
1980,6
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,5
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,6
2011,0
2012,0
