year,Vina
1880,35
1881,26
1882,29
1883,23
1884,42
1885,43
1886,41
1887,46
1888,39
1889,56
1890,42
1891,48
1892,51
1893,54
1894,41
1895,48
1896,53
1897,54
1898,61
1899,54
1900,59
1901,42
1902,51
1903,48
1904,62
1905,46
1906,48
1907,56
1908,50
1909,40
1910,45
1911,44
1912,69
1913,73
1914,59
1915,99
1916,100
1917,103
1918,82
1919,103
1920,111
1921,92
1922,97
1923,99
1924,94
1925,78
1926,78
1927,60
1928,76
1929,65
1930,63
1931,66
1932,43
1933,71
1934,40
1935,56
1936,65
1937,48
1938,64
1939,43
1940,44
1941,39
1942,44
1943,30
1944,44
1945,44
1946,39
1947,48
1948,41
1949,27
1950,32
1951,35
1952,28
1953,29
1954,35
1955,34
1956,29
1957,22
1958,21
1959,31
1960,33
1961,19
1962,40
1963,22
1964,25
1965,26
1966,23
1967,14
1968,16
1969,16
1970,18
1971,18
1972,13
1973,17
1974,13
1975,15
1976,10
1977,16
1978,16
1979,8
1980,14
1981,14
1982,11
1983,18
1984,11
1985,11
1986,9
1987,9
1988,12
1989,10
1990,10
1991,9
1992,8
1993,17
1994,17
1995,10
1996,18
1997,15
1998,17
1999,11
2000,18
2001,19
2002,18
2003,18
2004,7
2005,15
2006,23
2007,27
2008,13
2009,9
2010,10
2011,17
2012,17
